页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数,用户粉丝数
2,4802400072761957,天下无不散的筵席呀,2022-08-14 16:14:23,#彭州未撤离游客被卷入山洪#,https://m.weibo.cn/detail/4802400072761957,0,0,0,22
2,4802373001936953,相信历史的一修大叔,2022-08-14 14:26:49,成都消防示范民众遇到洪水时“错误&amp;正确”的自救技巧，值得大家仔细看一下！👍👍👍这一次在四川彭州发生的“游客被山洪冲走”的不幸事件，一修大叔看了好几个不同角度的视频，觉得好难过、好可惜，有好几个人明明有充分的逃生机会，怎么会选择原地不动待在河道中间呢？ 马来西亚·Petronas Twin Towers KLCC 相信历史的一修大叔的微博视频,https://m.weibo.cn/detail/4802373001936953,6,8,29,6.4万
2,4802399976031377,疯耍匠,2022-08-14 16:14:01,彭州山洪的视频看得人胆战心惊，但是吧还是觉得人真的该对自己负责，就算无视那些标语心怀侥幸，在听到大喇叭喊话的时候真的该安排撤离。想到小学课本里的海力布，海力布是真伟大但是总觉得那么做不值得。 ,https://m.weibo.cn/detail/4802399976031377,0,0,0,29
2,4802399938283504,新浪热点,2022-08-14 16:13:52,【#彭州山洪前管理员曾劝游客快跑# 】13日，彭州龙门山龙槽沟突发山洪。山洪前，管理员曾劝离游客，但是没什么人理他。他连着喊，我给你们跪下了，求求你们，快要涨水了，你们快跑。（椒点资讯）彭州山洪7死灾害多次预警被忽视：管理员曾大喊“我跪下来求大家，赶快上岸” ,https://m.weibo.cn/detail/4802399938283504,0,0,1,5509.8万
2,4802399833951912,法人杂志,2022-08-14 16:13:27,[四川彭州龙槽沟“8·13”山洪灾害，最新情况！]四川彭州龙槽沟“8·13”突发山洪灾害致7人死亡、8人轻伤记者14日从成都彭州市应急管理局获悉，截至目前，四川省彭州市龙门山镇龙槽沟“8·13”突发山洪灾害共造成7人死亡、8人轻伤。截至14日13时，经消防、公安等救援力量全力搜救后，无新增失联、伤亡人员；在院治疗轻伤1人，目前伤情稳定。据了解，自8月14日零时起，龙门山镇共出动260余人对事发地周边农家乐、住户进行人员排查。当日早上6时起，彭州市再次集结15支救援队伍308人，以及民兵80人、特警50人，携带无人救生艇、潜水装置、生命探测仪、卫星定位系统等专业救援设备，对龙槽沟至湔江河道丹景山河段开展三轮拉网式搜索，将搜救范围扩大至事发地点沿河下游约30公里。截至目前，搜救排查工作已接近尾声。遇难者家属善后工作也在有序开展。面对山洪，如何防范和自救？(见下图)来源：新华社、中华人民共和国应急管理部,https://m.weibo.cn/detail/4802399833951912,0,0,0,15.4万
2,4802399833689362,建业-守望,2022-08-14 16:13:27,山洪，泄洪河道，河道栅栏，警示牌，网红地，，，也未能挡住人们在河滩游玩、餐饮、扎帐篷休憩，暴雨前高音喇叭已在紧急疏散，暴雨已来临还是爱理不搭、慢条斯理、甚至山洪已到眼前，还有人再临危不惧地收拾物件，，，自然界的凶险，人们何时才能敬畏！祈愿一切平安！,https://m.weibo.cn/detail/4802399833689362,0,0,0,54
2,4802399762648383,一直幸福的猫,2022-08-14 16:13:10,#彭州山洪# 涨知识 ,https://m.weibo.cn/detail/4802399762648383,0,0,0,51
2,4802399758454691,吉林日报,2022-08-14 16:13:09,【吉林省水利厅和吉林省气象局2022年8月14日15时20分联合发布山洪灾害气象风险蓝色预警】预计今天夜间到明天白天，通化大部、白山大部、长白山保护区可能发生山洪灾害，省水利厅、省气象局联合提醒，注意防范。 ,https://m.weibo.cn/detail/4802399758454691,0,0,0,115.9万
3,4802399758454691,吉林日报,2022-08-14 16:13:09,【吉林省水利厅和吉林省气象局2022年8月14日15时20分联合发布山洪灾害气象风险蓝色预警】预计今天夜间到明天白天，通化大部、白山大部、长白山保护区可能发生山洪灾害，省水利厅、省气象局联合提醒，注意防范。 ,https://m.weibo.cn/detail/4802399758454691,0,0,0,115.9万
3,4802399749540768,张三疯Z丶J,2022-08-14 16:13:07,#四川彭州一河道突发山洪#造孽。 ,https://m.weibo.cn/detail/4802399749540768,0,0,0,336
3,4802397517647779,何天恩,2022-08-14 16:04:15,所以，现在怪谁？一边是有关部门的人员着急劝离一边是游客们的不慌不忙。。何天恩#彭州突发山洪造成7死8伤# 何天恩的微博视频 ,https://m.weibo.cn/detail/4802397517647779,2,10,44,284.4万
3,4802321450010737,应急管理部,2022-08-14 11:01:59,#人民守夜人#【彭州山洪 #直升机救援被困人员现场#曝光】截至目前，#彭州山洪已致7人死亡#，#超二百人参与彭州山洪搜救#。直升机救援被困人员现场曝光↓↓@四川应急 @青蜂侠Bee #防汛救援第一线#  应急管理部的微博视频 ,https://m.weibo.cn/detail/4802321450010737,28,11,69,218.2万
3,4802393433185765,财经网,2022-08-14 15:48:00,#四川峡谷等野外风景区落实专人盯守#【四川紧急通知：#峡谷等野外风景区域落实专人盯守#】8月13日，四川彭州市龙门山镇龙漕沟突发山洪，目前遇难者已上升至7人。13日晚间，四川省防汛抗旱指挥部办公室印发紧急通知，要求各地紧急排查辖区内易发多发险情的涉水景区以及滩涂、峡谷等野外风景区域，组织多部门联合开展动态巡护，落实专人在重要点位盯守巡查，做好警示提示，极端天气情况下严禁任何户外探险、涉水活动，及时劝阻山间溪谷、浅滩水域内野游、露营等行为，坚决确保人员安全。#彭州突发山洪造成7死8伤#（澎湃新闻）,https://m.weibo.cn/detail/4802393433185765,12,15,133,4040.3万
3,4802399565254848,我喜欢李1019,2022-08-14 16:12:23,#李现OSIM傲胜品牌代言人#lx#压力下线，状态再现#李现，你是无意穿堂风，偏偏孤倨引山洪，你是我情诗里念念不忘的每一行。李现@李现ing OSIM傲胜中国的微博视频 ,https://m.weibo.cn/detail/4802399565254848,1,1,0,83
3,4802399560014197,国学三把刷,2022-08-14 16:12:22,#同居1年分手男子欲要回88.8万彩礼#所以感情这东西得快刀斩乱麻，天下武功，唯快不破！！！#山洪来前有哪些预兆##彩礼为什么流传至今# 国学三把刷的微博视频 ,https://m.weibo.cn/detail/4802399560014197,0,0,0,2528
