Longitude,Latitude,Country-CH,Country,Report number,Disease,Genotype/ Serotype/ Subtype,Reason,Start date,Report date,reportId,reportStatus,eventId,eventStatus,animalType
105.318756,61.52401,俄罗斯,Russia,FUR_1,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/10/26,2023/01/13,158734,Validated,4719,Resolved,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_2,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/11/13,2023/01/13,158733,Validated,4729,Resolved,terrestrial
78.96288,20.593684,印度,India,FUR_1,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/10/16,2023/01/18,158731,Validated,4701,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_10,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/01/12,2023/01/13,158722,Validated,4241,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_3,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/09/04,2023/01/13,158720,Validated,4608,Resolved,terrestrial
34.301525,-13.254308,马拉维,Malawi,FUR_2,Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome),,First occurrence in a zone or a compartment,2022/07/08,2023/02/16,158710,Validated,4560,Resolved,aquatic
-102.552784,23.634501,墨西哥,Mexico,FUR_3,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,New strain in a zone or a compartment,2022/10/11,2023/02/02,158708,Validated,4675,On-going,terrestrial
,,,North Macedonia,FUR_1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/11/03,2023/01/09,158658,Validated,4705,Resolved,terrestrial
101.975766,4.210484,马来西亚,Malaysia,FUR_9,Lumpy skin disease virus (Inf. with) ,,First occurrence in the country,2021/05/10,2023/01/08,158638,Validated,3770,Resolved,terrestrial
74.766098,41.20438,吉尔吉斯斯坦,Kyrgyzstan,IN,Anthrax ,,First occurrence in a zone or a compartment,2023/01/03,2023/01/07,158637,Validated,4827,Resolved,terrestrial
8.675277,9.081999,尼日利亚,Nigeria,FUR_20,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2020/12/17,2023/01/07,158636,Validated,3533,On-going,terrestrial
,,,Chinese Taipei,IN,Tilapia lake virus (Inf. with),,Recurrence,2022/09/14,2023/02/23,158635,Validated,4826,Resolved,aquatic
21.005859,44.016521,塞尔维亚,Serbia,FUR_2,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/11/01,2023/01/05,158599,Validated,4702,Resolved,terrestrial
-42.604303,71.706936,格陵兰岛,Greenland,IN,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,First occurrence in the country,2022/03/28,2023/01/05,158574,Validated,4823,On-going,terrestrial
1.659626,28.033886,阿尔及利亚,Algeria,FUR_2,West Nile Fever ,,First occurrence in the country,2022/08/03,2023/01/04,158572,Validated,4603,Resolved,terrestrial
,,,South Africa,FUR_1,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N2,Recurrence of an eradicated disease,2022/10/25,2023/01/09,158568,Validated,4720,On-going,terrestrial
,,,North Macedonia,FUR_9,Infectious haematopoietic necrosis virus (Inf. with),,Recurrence,2020/09/01,2023/01/03,158559,Validated,3307,Stable,aquatic
24.603189,56.879635,拉脱维亚,Latvia,FUR_50,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/01/17,2023/01/03,158556,Validated,4254,Resolved,terrestrial
24.96676,45.943161,罗马尼亚,Romania,FUR_1,Maedi-visna ,,Recurrence of an eradicated disease,2022/07/05,2023/01/03,158544,Validated,4584,On-going,terrestrial
24.603189,56.879635,拉脱维亚,Latvia,FUR_51,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/01/04,2023/01/02,158529,Validated,4228,Resolved,terrestrial
8.081666,17.607789,尼日尔,Niger,IN,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/12/18,2023/01/02,158527,Validated,4817,On-going,terrestrial
19.145136,51.919438,波兰,Poland,IN,African swine fever virus (Inf. with) ,,First occurrence in a zone or a compartment,2022/12/21,2023/01/03,158526,Validated,4816,On-going,terrestrial
17.228331,26.3351,利比亚,Libya,FUR_12,Foot and mouth disease virus (Inf. with) ,A,Recurrence of an eradicated disease,2020/02/20,2023/02/16,158521,Validated,3162,Resolved,terrestrial
8.081666,17.607789,尼日尔,Niger,FUR_2,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2021/12/31,2023/01/01,158520,Validated,4219,Resolved,terrestrial
8.468946,60.472024,挪威,Norway,FUR_1,Rabbit haemorrhagic disease ,RHDV,Recurrence of an eradicated disease,2022/10/05,2022/12/31,158519,Validated,4717,On-going,terrestrial
8.468946,60.472024,挪威,Norway,FUR_3,Paenibacillus larvae (Inf. of honey bees with) (American foulbrood),,Recurrence of an eradicated disease,2022/09/16,2023/01/20,158518,Validated,4624,On-going,terrestrial
8.468946,60.472024,挪威,Norway,FUR_11,Maedi-visna ,,Recurrence of an eradicated disease,2019/06/20,2023/01/09,158517,Validated,2950,On-going,terrestrial
8.468946,60.472024,挪威,Norway,FUR_2,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/10/19,2022/12/30,158503,Validated,4670,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_2,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/10/16,2022/12/30,158500,Validated,4665,Resolved,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_1,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/10/29,2022/12/30,158499,Validated,4691,Resolved,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_1,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/12/01,2022/12/30,158498,Validated,4774,Resolved,terrestrial
33.429859,35.126413,塞浦路斯,Cyprus,FUR_1,Bluetongue virus (Inf. with) ,4,Recurrence of an eradicated strain,2022/11/28,2022/12/30,158494,Validated,4764,On-going,terrestrial
-102.552784,23.634501,墨西哥,Mexico,FUR_1,Equine encephalomyelitis (Eastern)(2006-),,Recurrence of an eradicated disease,2022/10/24,2023/01/10,158491,Validated,4743,On-going,terrestrial
17.228331,26.3351,利比亚,Libya,IN,West Nile Fever ,,First occurrence in the country,2022/12/12,2023/01/02,158490,Validated,4814,On-going,terrestrial
78.96288,20.593684,印度,India,FUR_1,Tilapia lake virus (Inf. with),Untyped or partially typed,Emerging disease,2016/07/27,2022/12/29,158488,Validated,2924,Resolved,aquatic
-75.015152,-9.189967,秘鲁,Peru,FUR_8,Tilapia lake virus (Inf. with),,Emerging disease,2017/11/09,2022/12/29,158487,Validated,2482,Resolved,aquatic
12.354722,7.369722,喀麦隆,Cameroon,FUR_55,Pox viruses (other than those listed by the OIE)(Inf. with)(2011-) ,,Emerging disease,2016/08/15,2022/12/29,158486,Validated,2012,Resolved,terrestrial
-19.020835,64.963051,冰岛,Iceland,FUR_4,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/04/09,2022/12/29,158483,Validated,4443,Stable,terrestrial
28.369885,47.411631,摩尔多瓦,Moldova,FUR_6,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/11/11,2022/12/29,158479,Validated,4718,Resolved,terrestrial
24.684866,-22.328474,博茨瓦纳,Botswana,FUR_3,Foot and mouth disease virus (Inf. with) ,SAT 2,Recurrence of an eradicated disease,2022/08/18,2023/01/04,158462,Validated,4594,Resolved,terrestrial
2.213749,46.227638,法国,France,IN,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Unusual host species,2022/12/20,2022/12/28,158454,Validated,4807,Resolved,terrestrial
8.081666,17.607789,尼日尔,Niger,IN,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/12/14,2022/12/26,158437,Validated,4802,On-going,terrestrial
103.846656,46.862496,蒙古,Mongolia,FUR_6,Foot and mouth disease virus (Inf. with) ,O,Recurrence of an eradicated disease,2021/05/13,2022/12/26,158431,Validated,3800,Resolved,terrestrial
103.846656,46.862496,蒙古,Mongolia,FUR_2,Foot and mouth disease virus (Inf. with) ,O,Recurrence of an eradicated disease,2021/06/30,2022/12/26,158430,Validated,3819,Resolved,terrestrial
19.699024,48.669026,斯洛伐克,Slovakia,FUR_3,Rabies virus (Inf. with) ,RABV,Recurrence of an eradicated strain,2022/09/30,2023/02/09,158427,Validated,4682,On-going,terrestrial
5.291266,52.132633,荷兰,Netherlands,FUR_31,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2021/10/25,2022/12/24,158422,Validated,4051,On-going,terrestrial
8.468946,60.472024,挪威,Norway,IN,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5 (N untyped),New strain in the country,2022/12/14,2022/12/23,158417,Validated,4795,On-going,terrestrial
103.846656,46.862496,蒙古,Mongolia,FUR_1,Lumpy skin disease virus (Inf. with) ,,Recurrence of an eradicated disease,2022/06/18,2022/12/26,158404,Validated,4587,Resolved,terrestrial
114.109497,22.396428,香港,Hong Kong,FUR_1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated strain,2022/12/05,2022/12/23,158402,Validated,4778,Resolved,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_4,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/08/09,2022/12/23,158399,Validated,4572,Resolved,terrestrial
103.846656,46.862496,蒙古,Mongolia,FUR_1,Sheep pox and goat pox ,,Recurrence of an eradicated disease,2022/04/11,2022/12/26,158397,Validated,4425,Resolved,terrestrial
-3.74922,40.463667,西班牙,Spain,FUR_2,Anthrax ,,Recurrence of an eradicated disease,2022/10/27,2022/12/22,158387,Validated,4713,Resolved,terrestrial
8.675277,9.081999,尼日利亚,Nigeria,IN,African horse sickness virus (Inf. with) ,Untyped or partially typed,Recurrence of an eradicated disease,2022/12/13,2022/12/23,158385,Validated,4785,On-going,terrestrial
-106.346771,56.130366,加拿大,Canada,FUR_6,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Unusual host species,2022/04/03,2023/02/24,158383,Validated,4438,On-going,terrestrial
-106.346771,56.130366,加拿大,Canada,FUR_1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5 (N untyped),New strain in the country,2022/04/06,2023/02/24,158365,Validated,4754,On-going,terrestrial
24.96676,45.943161,罗马尼亚,Romania,FUR_1,Anthrax ,,Recurrence of an eradicated disease,2022/11/25,2022/12/20,158361,Validated,4749,Resolved,terrestrial
-8.24389,53.41291,爱尔兰,Ireland,FUR_4,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Unusual host species,2022/09/19,2022/12/20,158358,Validated,4636,Resolved,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/10/09,2022/12/20,158344,Validated,4651,Resolved,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_1,Lumpy skin disease virus (Inf. with) ,,Recurrence of an eradicated disease,2022/09/18,2022/12/20,158343,Validated,4631,Resolved,terrestrial
-8.24389,53.41291,爱尔兰,Ireland,FUR_4,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/11/12,2022/12/19,158332,Validated,4724,Resolved,terrestrial
18.49041,-22.95764,纳米比亚,Namibia,FUR_3,Foot and mouth disease virus (Inf. with) ,SAT 2,Recurrence of an eradicated disease,2022/10/14,2022/12/19,158328,Validated,4650,On-going,terrestrial
,,,Palestine,FUR_3,Foot and mouth disease virus (Inf. with) ,O,Recurrence of an eradicated disease,2021/12/13,2023/02/22,158324,Validated,4193,On-going,terrestrial
8.468946,60.472024,挪威,Norway,FUR_7,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N5,New strain in the country,2022/02/24,2022/12/29,158316,Validated,4398,On-going,terrestrial
6.129583,49.815273,卢森堡,Luxembourg,FUR_4,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,New strain in the country,2021/11/27,2023/01/30,158277,Validated,4119,On-going,terrestrial
10.451526,51.165691,德国,Germany,IN,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/12/02,2022/12/12,158249,Validated,4779,On-going,terrestrial
25.013607,58.595272,爱沙尼亚,Estonia,FUR_7,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,First occurrence in the country,2021/02/09,2022/12/12,158246,Validated,3556,Resolved,terrestrial
25.013607,58.595272,爱沙尼亚,Estonia,FUR_4,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N8,First occurrence in the country,2021/02/17,2022/12/12,158245,Validated,3571,Resolved,terrestrial
25.013607,58.595272,爱沙尼亚,Estonia,FUR_8,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,New strain in the country,2021/05/18,2022/12/12,158244,Validated,3756,Resolved,terrestrial
25.013607,58.595272,爱沙尼亚,Estonia,FUR_1,SARS-CoV-2 in animals (Inf. with),,Emerging disease,2021/02/22,2022/12/12,158243,Validated,3586,Resolved,terrestrial
9.501785,56.26392,丹麦,Denmark,FUR_2,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/11/07,2022/12/12,158240,Validated,4711,Resolved,terrestrial
,,,Zambia,FUR_1,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/09/07,2022/12/12,158238,Validated,4683,Resolved,terrestrial
1.659626,28.033886,阿尔及利亚,Algeria,FUR_6,Foot and mouth disease virus (Inf. with) ,O,Recurrence of an eradicated disease,2022/03/28,2022/12/12,158234,Validated,4432,Resolved,terrestrial
1.659626,28.033886,阿尔及利亚,Algeria,FUR_3,Peste des petits ruminants virus (Inf. with) ,,Recurrence of an eradicated disease,2022/07/03,2022/12/12,158233,Validated,4542,Resolved,terrestrial
,,,Zambia,FUR_1,Mycoplasma mycoides subsp. mycoides SC (Inf. with) (Contagious bovine pleuropneumonia) ,,First occurrence in a zone or a compartment,2022/09/01,2022/12/12,158231,Validated,4680,Resolved,terrestrial
1.659626,28.033886,阿尔及利亚,Algeria,FUR_1,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/09/24,2022/12/12,158229,Validated,4641,On-going,terrestrial
12.56738,41.87194,意大利,Italy,FUR_9,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/09/21,2023/02/16,158210,Validated,4625,Resolved,terrestrial
105.318756,61.52401,俄罗斯,Russia,IN,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/12/01,2022/12/08,158193,Validated,4771,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_4,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/07/27,2022/12/08,158192,Validated,4568,Resolved,terrestrial
-51.92528,-14.235004,巴西,Brazil,FUR_3,Classical swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2021/09/15,2022/12/07,158190,Validated,3993,On-going,terrestrial
33.429859,35.126413,塞浦路斯,Cyprus,IN,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,New strain in the country,2022/11/24,2022/12/09,158169,Validated,4768,On-going,terrestrial
21.824312,39.074208,希腊,Greece,FUR_3,West Nile Fever ,,Recurrence of an eradicated disease,2022/08/17,2022/12/06,158151,Validated,4630,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_3,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/08/22,2022/12/06,158149,Validated,4592,Resolved,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_5,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/07/24,2022/12/06,158147,Validated,4555,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_1,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/07/21,2022/12/06,158146,Validated,4546,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_5,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/01/02,2022/12/06,158145,Validated,4281,Resolved,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_19,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2021/07/26,2022/12/06,158144,Validated,3847,Resolved,terrestrial
-102.552784,23.634501,墨西哥,Mexico,FUR_6,SARS-CoV-2 in animals (Inf. with),,Emerging disease,2020/08/14,2022/12/05,158142,Validated,3445,Resolved,terrestrial
,,,Dominican (Rep.),FUR_13,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2021/04/10,2022/12/20,158141,Validated,3842,On-going,terrestrial
-51.92528,-14.235004,巴西,Brazil,FUR_14,Classical swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2020/09/18,2022/12/07,158116,Validated,3317,On-going,terrestrial
,,,Venezuela,IN,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,First occurrence in the country,2022/11/17,2022/12/02,158114,Validated,4760,On-going,terrestrial
-106.346771,56.130366,加拿大,Canada,IN,SARS-CoV-2 in animals (Inf. with),,Emerging disease,2022/11/07,2022/12/16,158086,Validated,4751,Resolved,terrestrial
10.451526,51.165691,德国,Germany,FUR_4,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,New strain in a zone or a compartment,2022/01/04,2022/11/29,158075,Validated,4233,On-going,terrestrial
,,,Türkiye,FUR_4,Foot and mouth disease virus (Inf. with) ,A,New strain in a zone or a compartment,2015/09/29,2022/11/28,158036,Validated,1867,Resolved,terrestrial
18.643501,60.128161,瑞典,Sweden,FUR_2,Newcastle disease virus (Inf. with) ,,Recurrence of an eradicated disease,2022/10/24,2022/11/28,158034,Validated,4694,Resolved,terrestrial
-75.015152,-9.189967,秘鲁,Peru,FUR_1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5 (N untyped),First occurrence in the country,2022/11/09,2023/02/23,158014,Validated,4732,On-going,terrestrial
114.109497,22.396428,香港,Hong Kong,FUR_1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated strain,2022/11/09,2022/12/01,157990,Validated,4726,Resolved,terrestrial
-8.224454,39.399872,葡萄牙,Portugal,IN,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/11/15,2022/11/22,157989,Validated,4744,Resolved,terrestrial
-3.74922,40.463667,西班牙,Spain,FUR_5,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/08/01,2022/11/23,157976,Validated,4570,Resolved,terrestrial
105.318756,61.52401,俄罗斯,Russia,IN,Newcastle disease virus (Inf. with) ,,Recurrence of an eradicated disease,2022/10/15,2022/11/21,157944,Validated,4738,On-going,terrestrial
,,,Melilla,IN,Rabies virus (Inf. with) ,RABV,Recurrence of an eradicated disease,2022/11/02,2022/11/21,157940,Validated,4737,Resolved,terrestrial
-8.24389,53.41291,爱尔兰,Ireland,FUR_13,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/07/04,2022/11/18,157933,Validated,4524,Resolved,terrestrial
,,,Türkiye,FUR_23,Lumpy skin disease virus (Inf. with) ,,First occurrence in a zone or a compartment,2013/08/06,2022/11/23,157930,Validated,1431,Resolved,terrestrial
,,,Korea (Rep. of),FUR_16,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2021/11/08,2023/01/04,157923,Validated,4067,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_20,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2021/05/08,2022/11/17,157920,Validated,3713,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_10,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/07/14,2022/11/17,157919,Validated,4532,Resolved,terrestrial
14.550072,47.516231,奥地利,Austria,FUR_4,West Nile Fever ,,Recurrence of an eradicated disease,2022/08/17,2022/11/17,157914,Validated,4596,Resolved,terrestrial
25.748151,61.92411,芬兰,Finland,FUR_43,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated strain,2021/12/25,2022/11/16,157904,Validated,4243,Resolved,terrestrial
67.709953,33.93911,阿富汗,Afghanistan,FUR_2,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5 (N untyped),Recurrence of an eradicated disease,2017/12/28,2022/11/14,157865,Validated,2440,Resolved,terrestrial
67.709953,33.93911,阿富汗,Afghanistan,FUR_2,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5 (N untyped),First occurrence in a zone or a compartment,2018/01/22,2022/11/14,157864,Validated,2467,Resolved,terrestrial
18.49041,-22.95764,纳米比亚,Namibia,FUR_3,Mycoplasma mycoides subsp. mycoides SC (Inf. with) (Contagious bovine pleuropneumonia) ,,First occurrence in a zone or a compartment,2022/06/27,2022/11/14,157851,Validated,4516,On-going,terrestrial
18.49041,-22.95764,纳米比亚,Namibia,FUR_2,Mycoplasma mycoides subsp. mycoides SC (Inf. with) (Contagious bovine pleuropneumonia) ,,Recurrence of an eradicated disease,2022/08/11,2022/11/14,157850,Validated,4642,On-going,terrestrial
18.49041,-22.95764,纳米比亚,Namibia,FUR_1,Mycoplasma mycoides subsp. mycoides SC (Inf. with) (Contagious bovine pleuropneumonia) ,,Recurrence of an eradicated disease,2022/09/21,2022/11/14,157849,Validated,4648,On-going,terrestrial
18.49041,-22.95764,纳米比亚,Namibia,FUR_5,Mycoplasma mycoides subsp. mycoides SC (Inf. with) (Contagious bovine pleuropneumonia) ,,First occurrence in a zone or a compartment,2022/05/16,2022/11/14,157848,Validated,4499,On-going,terrestrial
18.49041,-22.95764,纳米比亚,Namibia,FUR_3,Mycoplasma mycoides subsp. mycoides SC (Inf. with) (Contagious bovine pleuropneumonia) ,,Recurrence of an eradicated disease,2022/02/28,2022/11/14,157847,Validated,4353,On-going,terrestrial
-3.435973,55.378051,联合王国,United Kingdom,FUR_13,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,First occurrence in a zone or a compartment,2022/07/11,2022/11/14,157846,Validated,4528,Resolved,terrestrial
28.369885,47.411631,摩尔多瓦,Moldova,FUR_8,African swine fever virus (Inf. with) ,,First occurrence in a zone or a compartment,2022/08/11,2022/11/14,157844,Validated,4580,Resolved,terrestrial
-3.435973,55.378051,联合王国,United Kingdom,FUR_35,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,First occurrence in a zone or a compartment,2022/02/22,2022/11/11,157839,Validated,4344,Resolved,terrestrial
-3.435973,55.378051,联合王国,United Kingdom,FUR_39,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,First occurrence in a zone or a compartment,2022/01/11,2022/11/11,157838,Validated,4248,Resolved,terrestrial
-8.224454,39.399872,葡萄牙,Portugal,FUR_3,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/08/29,2022/11/11,157834,Validated,4600,Resolved,terrestrial
31.16558,48.379433,乌克兰,Ukraine,FUR_1,Anthrax ,,Recurrence of an eradicated disease,2022/09/28,2022/11/08,157795,Validated,4647,Resolved,terrestrial
138.252924,36.204824,日本,Japan,IN,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N2,New strain in the country,2022/10/27,2022/11/08,157792,Validated,4707,On-going,terrestrial
28.369885,47.411631,摩尔多瓦,Moldova,FUR_10,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/06/19,2022/11/07,157761,Validated,4497,Resolved,terrestrial
-3.435973,55.378051,联合王国,United Kingdom,FUR_33,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Recurrence of an eradicated strain,2021/11/07,2022/11/04,157744,Validated,4350,Resolved,terrestrial
21.005859,44.016521,塞尔维亚,Serbia,IN,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2021/12/21,2022/11/04,157735,Validated,4692,Resolved,terrestrial
66.923684,48.019573,哈萨克斯坦,Kazakhstan,FUR_2,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5 (N untyped),Recurrence of an eradicated disease,2022/06/19,2022/11/04,157724,Validated,4503,Resolved,terrestrial
66.923684,48.019573,哈萨克斯坦,Kazakhstan,FUR_1,Anthrax ,,Recurrence of an eradicated disease,2022/09/02,2022/11/04,157723,Validated,4611,Resolved,terrestrial
21.005859,44.016521,塞尔维亚,Serbia,FUR_2,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,New strain in a zone or a compartment,2021/10/18,2022/11/04,157715,Validated,4034,Resolved,terrestrial
21.005859,44.016521,塞尔维亚,Serbia,FUR_1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N2,New strain in the country,2021/09/26,2022/11/03,157714,Validated,4036,Resolved,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_10,Equine infectious anaemia ,,Recurrence of an eradicated disease,2022/07/05,2022/11/03,157707,Validated,4521,Resolved,terrestrial
19.145136,51.919438,波兰,Poland,FUR_1,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/09/19,2022/11/02,157705,Validated,4620,Resolved,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_21,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2021/07/09,2022/11/02,157700,Validated,3811,Resolved,terrestrial
84.124008,28.394857,尼泊尔,Nepal,FUR_12,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/01/17,2022/11/04,157699,Validated,4285,Resolved,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_4,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/05/26,2022/11/01,157689,Validated,4483,Resolved,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_1,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/08/15,2022/11/01,157688,Validated,4607,Resolved,terrestrial
