Longitude,Latitude,Country-CH,Country,Report number,Disease,Genotype/ Serotype/ Subtype,Reason,Start date,Report date,reportId,reportStatus,eventId,eventStatus,animalType
19.503304,47.162494,匈牙利,Hungary,FUR_64,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2021/11/04,2023/03/16,159887,Validated,4070,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_8,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2023/01/10,2023/03/16,159886,Validated,4834,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_17,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/11/03,2023/03/16,159885,Validated,4706,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_13,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/12/18,2023/03/16,159884,Validated,4784,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_16,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/11/27,2023/03/16,159883,Validated,4750,On-going,terrestrial
19.145136,51.919438,波兰,Poland,FUR_2,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/02/04,2023/03/17,159882,Validated,4934,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_25,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/11/02,2023/03/16,159881,Validated,4693,On-going,terrestrial
90.433601,27.514162,不丹,Bhutan,IN,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2023/03/11,2023/03/16,159880,Validated,4970,On-going,terrestrial
14.550072,47.516231,奥地利,Austria,FUR_14,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/11/07,2023/03/17,159879,Validated,4710,On-going,terrestrial
14.550072,47.516231,奥地利,Austria,FUR_6,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2023/01/16,2023/03/16,159878,Validated,4847,On-going,terrestrial
138.252924,36.204824,日本,Japan,FUR_1,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N2,New strain in the country,2023/01/16,2023/03/16,159877,Validated,4844,On-going,terrestrial
138.252924,36.204824,日本,Japan,FUR_11,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/01/11,2023/03/16,159875,Validated,4634,On-going,terrestrial
-78.183406,-1.831239,厄瓜多尔,Ecuador,FUR_2,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,First occurrence in the country,2022/12/07,2023/03/15,159873,Validated,4869,On-going,terrestrial
-74.297333,4.570868,哥伦比亚,Colombia,FUR_12,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,First occurrence in the country,2022/10/03,2023/03/15,159872,Validated,4668,On-going,terrestrial
,,,Uruguay,FUR_1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5 (N untyped),First occurrence in the country,2023/03/03,2023/03/16,159871,Validated,4947,On-going,terrestrial
,,,Uruguay,FUR_2,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5 (N untyped),First occurrence in the country,2023/02/14,2023/03/16,159870,Validated,4900,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_6,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2021/11/05,2023/03/15,159868,Validated,4131,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_9,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2021/11/09,2023/03/15,159867,Validated,4130,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_2,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,First occurrence in a zone or a compartment,2021/12/30,2023/03/15,159866,Validated,4215,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_5,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2021/11/06,2023/03/15,159865,Validated,4129,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_38,African swine fever virus (Inf. with) ,,First occurrence in a zone or a compartment,2020/10/30,2023/03/15,159861,Validated,3359,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_72,African swine fever virus (Inf. with) ,,First occurrence in the country,2020/09/09,2023/03/15,159860,Validated,3299,On-going,terrestrial
31.16558,48.379433,乌克兰,Ukraine,FUR_1,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/01/31,2023/03/15,159857,Validated,4873,Resolved,terrestrial
12.56738,41.87194,意大利,Italy,FUR_17,Epizootic hemorrhagic disease virus (Inf. with) ,Pending,First occurrence in a zone or a compartment,2022/10/25,2023/03/15,159856,Validated,4731,On-going,terrestrial
12.56738,41.87194,意大利,Italy,FUR_39,African swine fever virus (Inf. with) ,,First occurrence in a zone or a compartment,2022/05/04,2023/03/15,159855,Validated,4460,On-going,terrestrial
12.56738,41.87194,意大利,Italy,FUR_15,Infectious haematopoietic necrosis virus (Inf. with),,Recurrence,2022/10/07,2023/03/15,159854,Validated,4709,On-going,aquatic
12.56738,41.87194,意大利,Italy,FUR_14,SARS-CoV-2 in animals (Inf. with),,Emerging disease,2022/11/10,2023/03/15,159853,Validated,4746,On-going,terrestrial
84.124008,28.394857,尼泊尔,Nepal,FUR_4,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2023/01/24,2023/03/15,159851,Validated,4884,On-going,terrestrial
66.923684,48.019573,哈萨克斯坦,Kazakhstan,IN,Sheep pox and goat pox ,,Recurrence of an eradicated disease,2023/03/09,2023/03/15,159849,Validated,4969,On-going,terrestrial
90.433601,27.514162,不丹,Bhutan,FUR_1,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/02/18,2023/03/15,159846,Validated,4940,On-going,terrestrial
