类别,电影详情页url,电影名,年份,标签,导演,编剧,演员,评分,简介,海报url
热门,https://movie.douban.com/subject/36017416/,恶到必除,2022,剧情/犯罪,姜晓通,史倩,赵达/邹兆龙/肖涵/彭敬慈/王炳翔/辛悦/周星宏,5.6,《恶到必除》是一部讲述上世纪九十年代我国公安机关，众志成城、强强联合打击违法犯罪活动、伸张社会正义的警匪动作影片。 上世纪90年代的南方一座名为滨海的小城市连续发生多起令人发指的凶残劫案，为人刚正不阿的北方公安徐正阳来到来到滨海支援本地刑侦队长宋海侦破案件，面对具备高超反侦察能力以及凶残属性的嚣张的庄志强劫匪集团，两人各自发挥所长，经历一番斗智斗勇的对决后，最终一举歼灭以庄志强为首的悍匪集团。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2876793472.jpg
热门,https://movie.douban.com/subject/30471496/,祝你好运 Luck,2022,喜剧/动画/奇幻,佩吉·霍姆斯,基尔·默里/乔纳森·阿贝尔/格伦·伯杰,伊娃·诺布勒札达/西蒙·佩吉/简·方达/乌比·戈德堡/弗卢拉·博格/里尔·莱尔·哈瓦瑞/科林·奥多霍诺/约翰·拉岑贝格/阿德琳·斯布恩/Maurice Irvin,6.8,简·方达将为动画新片[幸运]中的主要角色配音。该片由佩吉·霍姆斯([小叮当与海盗仙子])执导，由基尔·默里([赛车总动员])操刀剧本。故事讲述在一个好运气和坏运气互相碰撞的世界中，一个不幸的女孩必须介入并拯救这个世界。 简·方达将为龙配音，龙是热情洋溢的掌管好运气的CEO，她是毫无争议的最幸运的远古生物。龙很优雅，风格明确，她强大并且有说服力。唯一比好运更好的事情就是更多的好运，所以当坏运气开始失控，她必须直面自己的恐惧，面临永远失去好运气的风险。该片由天空之舞与苹果联合制作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2875811269.jpg
热门,https://movie.douban.com/subject/35238569/,黑色电话 The Black Phone,2021,恐怖,斯科特·德瑞克森,斯科特·德瑞克森/C·罗伯特·嘉吉/乔·希尔,梅森·泰晤士/玛德琳·麦格劳/伊桑·霍克/杰瑞米·戴维斯/E·罗杰·米切尔/特洛伊·鲁德塞/詹姆斯·兰索恩/米格尔·卡萨雷斯·莫拉/丽贝卡·克拉克/J·加文·王尔德/斯宾塞·菲茨杰拉德/乔丹·以赛亚·怀特/布雷迪·瑞恩/特里斯坦·普拉旺/雅各布·莫兰/迈克尔·班克斯/凯兰·吕德/妮娜·雷佩塔/梅根·彼得森,6.8,故事发生在1978年美国科罗拉多州的一座小镇中，芬尼（梅森·泰晤士 Mason Thames 饰）是生活在那里的一名少年。芬尼有一个妹妹名叫格温（玛德琳·麦格劳 Madeleine McGraw 饰），两人的母亲在早年间去世了，如今，他们兄妹两人和性格暴躁的父亲（杰瑞米·戴维斯 Jeremy Davies 饰）过着相依为命的日子。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2687007137.jpg
热门,https://movie.douban.com/subject/35235813/,"祝你好运，里奥·格兰德 Good Luck to You, Leo Grande",2022,剧情/喜剧,苏菲·海德,凯蒂·布兰德,艾玛·汤普森/达利尔·麦克科马克/伊莎贝拉·拉夫兰德/莱斯·马巴莱卡/兰妮·贝阿雷/卡琳娜·洛佩斯/夏洛特·威尔,8.2,一部关于爱、欲、和满足的喜剧片。艾玛·汤普森饰演的55岁寡妇Nancy Stokes迫切渴望冒险、人类联结和性，渴望她人生中第一次很棒的性爱。丈夫Robert给了她住宅、家庭和看起来像样的生活，然而他已经走了，如今Nancy觉得“连有些修女都比我性生活更 丰富”，她一向是行动派，且当过老师，相当有条理，于是她马上开始实施计划：做了一些研究之后，Nancy雇佣了一个20岁出头的性心理治疗师Leo Grande，准备重启对自己身体的认识。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2872943472.jpg
热门,https://movie.douban.com/subject/30304994/,奇异博士2：疯狂多元宇宙 Doctor Strange in the Multiverse of Madness,2022,动作/恐怖/奇幻,山姆·雷米,迈克尔·沃尔德伦,本尼迪克特·康伯巴奇/伊丽莎白·奥尔森/切瓦特·埃加福/本尼迪克特·王/克索斯利尔·戈麦斯/瑞秋·麦克亚当斯/迈克尔·斯图巴/帕特里克·斯图尔特/海莉·阿特维尔/约翰·卡拉辛斯基/拉什纳·林奇/安松·蒙特/查理兹·塞隆/希拉·阿蒂姆/亚当·赫吉尔/亚子·米切尔/杨沫沫/丹尼尔·斯温/多波·雷斯尼怀罗/伊登·纳森森/维尼·莫利/大卫·谢/乔丹·亚历桑德拉/迈克尔·沃尔德伦/朱利安·希威德/杰特·克莱恩/布鲁斯·坎贝尔/马里安·洛伦西克,6.3,充满无限未知的疯狂多元宇宙即将展开，一切皆有可能。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2872533452.jpg
热门,https://movie.douban.com/subject/26873582/,侏罗纪世界3 Jurassic World: Dominion,2022,动作/科幻/冒险,科林·特莱沃若,艾米丽·卡迈克尔/科林·特莱沃若/德里克·康纳利/迈克尔·克莱顿,克里斯·帕拉特/布莱丝·达拉斯·霍华德/劳拉·邓恩/山姆·尼尔/杰夫·高布伦/德汪达·怀斯/马莫多·阿西/伊莎贝拉·瑟蒙/坎贝尔·斯科特/黄荣亮/奥玛·希/贾斯蒂斯·史密斯/丹妮艾拉·皮内达/斯科特·黑兹/迪辰·拉克曼/克里斯托弗·普拉哈/芙蕾雅·帕克/亚历山大·欧文/埃尔娃·崔尔/特蕾莎·森登·加西亚/瓦拉达·塞图/本·阿什登/小恩佐·斯奎利诺/格利尼斯·戴维斯/摩西·布林斯·普兰提/柯基·法尔考/迪米特里“维加斯”蒂瓦约/乔·阿佐帕迪/本·库克/伯纳多·桑托斯,6.1,影片为《侏罗纪世界》系列的完结篇，故事的开篇设定在纳布拉尔岛被摧毁的四年后。如今，恐龙在世界各地与人类共同生活、共同捕猎。这一脆弱的平衡将重塑未来，并最终决定人类能否与史上最可怕生物共享这颗星球，并继续站在食物链的顶端。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2873135507.jpg
热门,https://movie.douban.com/subject/35258381/,天鹅挽歌 Swan Song,2021,剧情/科幻,本杰明·克利里,本杰明·克利里,马赫沙拉·阿里/娜奥米·哈里斯/格伦·克洛斯/奥卡菲娜/亚当·比奇/李·肖顿/戴克斯·雷伊/尼亚切·海邓迪 Nyasha Hatendi/JayR Tinaco/卢克·卡米莱/Jessica Hayles/Shema Cayden/Mikayla Lagman,8.1,《天鹅之歌》以不久的将来为背景，通过卡梅伦的眼睛讲述了一段充满力量和情感的旅程。卡梅伦是一位慈爱的丈夫，被诊断患有绝症，医生向他提出了另一种解决方案，以保护他的家人免受悲痛。当卡梅伦挣扎着是否要改变他的家庭命运时，他学到了比他想象的更多关于生活和爱情的知识。《天鹅之歌》探索了我们将走多远，以及我们愿意牺牲多少，为我们所爱的人创造更幸福的生活。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2717809625.jpg
热门,https://movie.douban.com/subject/35212079/,谁是超级英雄 Super-héros malgré lui,2022,喜剧/动作,菲利普·拉肖,朱利安·阿鲁蒂/皮埃尔·迪当/菲利普·拉肖/皮埃尔·拉苏,菲利普·拉肖/阿马尔·维克德/让·雨果·安格拉德/艾洛蒂·丰唐/乔治斯·科拉菲斯/塔雷克·布达里/Chantal Ladesou/布鲁诺·洛歇/Salomé Partouche/Michel Crémadès/菲烈·卡特林/Alex Martin/爱丽丝·杜富尔/朱利安·阿鲁蒂/Amin Harfouch,7.4,西追（菲力普拉绍 饰）是一名不得志的演员，某天他得到饰演超级英雄「扁福侠」的机会，原以为可以从此翻身，没想到一场突如其来的车祸让他失去记忆，误以为自己就是「扁福侠」本人，于是四处展开行侠仗义的行动...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2708256204.jpg
热门,https://movie.douban.com/subject/35448889/,非常杀手 더 킬러: 죽어도 되는 아이,2022,犯罪,崔在勋,张赫/布鲁斯·坎/李西英,,6.2,该片改编自小说，是一部动作片，讲述了隐退的杀手照顾女中学生后发生的事情。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2874321152.jpg
热门,https://movie.douban.com/subject/35891625/,唯爱永存 You Can Live Forever,2022,剧情,Mark Slutsky,Sarah Watts/Mark Slutsky,安雯·奥德里斯科尔/琼恩·拉波特/莲妮·芭拉班/Antoine Yared/Hasani Freeman/黛拉格·坎贝尔/Catherine-Amélie Côté/Marc-Antoine Auger/Jude Ferris/Tim Campbell/Xavier Roberge/Lenni-Kim Lalande/HoJo Rose/Jordan Sawyer/Bentley Hughes/妮可·勒鲁/贝莉·塞恩,7.5,故事发生在1990年代初，处于青春期的杰敏在父亲去世后被送到亲戚家生活，亲戚家是虔诚的“耶和华见证会”信徒。在那里，杰敏与一位见证会长者的女儿玛丽克建立了意外的联系，她们立即被对方吸引并开始了秘密的、不言而喻的地下恋情。但是，当她们之间的吸引力变得再也无法隐藏时，这个宗教社区开始将他们分开，迫使两个女孩在信仰和爱情之间做出选择。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2874508798.jpg
热门,https://movie.douban.com/subject/35354759/,巴黎夜旅人 Les Passagers de la nuit,2022,剧情,米夏埃尔·艾斯,米夏埃尔·艾斯/莫德·阿美林/玛里埃特·黛塞尔,夏洛特·甘斯布/基多·雷昂-里希特/诺亚·阿比塔/梅根·诺瑟姆/提布尔·凡松/艾曼纽·贝阿/洛朗·波瓦特诺/迪迪埃·桑德尔/莉莉丝·格拉斯穆格/卡利克特·布罗欣-杜塔兹/欧菲莉亚·科尔布,8.0,1981年法国大选，左派首次推翻保守派的长期执政，人们欢欣涌上巴黎街头庆祝祖国新生。然而，刚经历病痛与婚变的伊莉莎白，却面临了艰困的挑战，毫无工作经验的她，必须重回社会，抚养向往成为诗人的儿子、满怀社会理想的女儿，与因缘际会而暂时收留的街头陌生少女。一个屋檐下，四个截然不同的灵魂在醉人的巴黎努力生存；生活的残酷与不堪，随着摇曳且迷幻的乐声，被塞纳河畔的夜色轻轻抚慰。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2871210079.jpg
热门,https://movie.douban.com/subject/26147418/,神奇动物：邓布利多之谜 Fantastic Beasts: The Secrets of Dumbledore,2022,奇幻/冒险,大卫·叶茨,J. K. 罗琳/史蒂夫·克洛夫斯,埃迪·雷德梅恩/裘德·洛/麦斯·米科尔森/丹·福勒/艾莉森·萨多尔/凯瑟琳·沃特斯顿/埃兹拉·米勒/卡勒姆·特纳/杰西卡·威廉姆斯/理查德·柯伊尔/波佩·科比-特曲/维多利亚·耶茨/威廉·纳迪兰/奥利弗·马苏奇/瓦莱丽·帕赫纳/亚历山大·库兹涅佐夫/拉莫娜·库泽-莉比诺/马丽娅·费尔南达·康基多/戴夫·王/维尔夫·斯科尔丁/卢卡斯·英格兰德/菲奥娜·格拉斯科特/马提亚斯·布伦纳/彼得·西蒙尼舍克/雅基·波特斯万/赫柏·贝尔德索尔/曼努埃尔·克莱因,5.9,阿不思·邓布利多教授（裘德·洛 饰）意识到强大的黑巫师盖勒特·格林德沃（麦斯·米科尔森 饰）正试图夺取魔法世界的控制权。邓布利多了解仅凭他一人之力，将无法阻止格林德沃，于是他委托魔法动物学家纽特·斯卡曼德（埃迪·雷德梅恩 饰）带领一支精良的团队——成员包括男巫、女巫及一位勇敢的麻瓜面包师，来共同执行这项危险任务。一路上他们会遇到各式各样的神奇动物，既有老朋友，也有前所未见的神秘生物；同时他们也随时会与格林德沃不断壮大的追随者发生冲突。这次行动的风险是如此之高……邓布利多还能袖手旁观多久？,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2871106106.jpg
热门,https://movie.douban.com/subject/35955845/,紫心之恋 Purple Hearts,2022,剧情/爱情/音乐,伊丽莎白·艾伦,丽兹·加西亚/Kyle Jarrow,尼古拉斯·加利齐纳/索菲亚·卡尔森/Anthony Ippolito/林登·阿什比/约翰·哈伦·金/乔森·雅各布/卡特里娜·坎宁安/斯科特·德克特/Breana Raquel/Jordan Drake/Leroy Edwards III/Sarah Rich/Josh Cruze/Nicholas Duvernay/阿桑特·琼斯/黛比·范/斯利姆·克什里/亚历克斯·威克索,6.7,尽管存在许多分歧，受精神疾病困扰的创作歌手卡西和陷入困境的海军陆战队员卢克同意仅出于利益而结婚。但是当悲剧发生时，真实和虚假之间的界限开始变得模糊……,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2877004573.jpg
热门,https://movie.douban.com/subject/35303842/,迷失之城 The Lost City,2022,喜剧/动作/冒险,艾伦·尼,奥伦·尤济尔/达纳·福克斯/亚当·尼/艾伦·尼/赛斯·戈登,桑德拉·布洛克/查宁·塔图姆/丹尼尔·雷德克里夫/达明·乔伊·伦道夫/布拉德·皮特/奥斯卡·努内斯/帕蒂·哈里森/杨伯文/乔安·普林格尔/赫克托·阿尼巴尔/托马斯·福布斯·约翰逊/斯莱·刘易斯/亚当·尼/雷蒙德·李/安东尼·阿尔瓦雷斯/马西·哈罗/瑞恩·贾德,5.3,洛蕾塔·塞琪（桑德拉·布洛克 饰）是一位才华横溢但与世隔绝的作家。在她的畅销爱情冒险小说里，总会出现许多奇异的地方。而作为本书的封面模特，艾伦（查宁·塔图姆 饰）一生都在致力于展现书中英雄角色“达什”的个人魅力。 ” 在与艾伦一起宣传新书时，洛雷塔被一位古怪的亿万富翁（丹尼尔·雷德克里夫 饰）绑架。这位亿万富翁坚信，洛蕾塔的新书能带领他找到失落古城中的宝藏。 与此同时，艾伦为了证明自己可以成为现实中的英雄，而不仅仅是洛蕾塔虚构的人物，决定前去营救她。这对极不对付的搭档需要共同努力，才能在险恶的丛林中生存下来，并在亿万富翁赶到前找到古老的宝藏。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2876461859.jpg
热门,https://movie.douban.com/subject/35597426/,稍微想起一些 ちょっと思い出しただけ,2021,爱情,松居大悟,松居大悟,池松壮亮/伊藤沙莉/国村隼/永濑正敏/神野三铃/成田凌/筱原笃/菅田俊/クリープハイプ/大関れいか/屋敷裕政/涩川清彦/市川实和子/高冈早纪/鈴木慶一/広瀬斗史輝/松浦祐也/安齐歌恋/郭智博/细井鼓太/山崎将平,7.7,2021年7月26日，佐伯照生(池松壮亮 饰)迎接34岁生日，起床后惯常地为仙人掌浇水，身体随着收音机音乐摆动，就算是生日，身为灯光师的他仍如常工作，照亮台上每一位舞者。同一天，的士司机叶(伊藤沙莉 饰)驾驶着的士在疫情下的东京夜路上行驶。途中，叶跟着乘客下车，突然被不知从何处传来的踏步声吸引，叶不知不觉走到声音的源头，竟看见正在台上起舞的照生。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2702451756.jpg
热门,https://movie.douban.com/subject/35341588/,男人 Men,2022,恐怖,亚历克斯·加兰,亚历克斯·加兰,杰西·巴克利/罗里·金尼尔/帕帕·厄希度/盖尔·兰金/莎拉·托米/扎克·罗瑟拉-奥克斯利/水野索诺娅,6.9,丈夫过世之后，哈珀（杰西巴克利 饰）来到一处美丽的英国乡村疗伤，然而，这里的树林中似乎有某人或某物在跟踪她，这些潜藏在她心中隐约的恐惧，随着时间逐渐转变成具体的恶梦……,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2867939386.jpg
