类别,电影详情页url,电影名,年份,标签,导演,编剧,演员,评分,简介,海报url
热门,https://movie.douban.com/subject/35134764/,上帝之手 È stata la mano di Dio,2021,剧情,保罗·索伦蒂诺,保罗·索伦蒂诺,菲利波·斯科蒂/托尼·塞尔维洛/特蕾莎·萨班农盖/路易莎·拉涅瑞/雷纳托·卡朋特理/马西米利亚诺·加洛/贝蒂·佩德拉兹/利诺· 穆塞拉/朵拉·罗马诺/Birte Berg/Lubomir Misak/Biagio Manna/Marlon Joubert/Ciro Capano/Enzo Decaro/Sofya Gershevich/Alessandro Bressanello,7.7,荣获奥斯卡金像奖的编剧兼导演保罗·索伦蒂诺（《大牌明星》《绝美之城》《年轻的教宗》）以 20 世纪 80 年代动荡的那不勒斯为背景，讲述男孩法比托·斯基萨的故事。《上帝之手》中既有意料之外的惊喜，例如足球传奇人物迭戈·马拉多纳的到来，也有同样出乎意料的悲剧。对法比托而言，在欢乐与悲剧相互交织中，命运的齿轮已然开始转动。索伦蒂诺回到家乡讲述了他最具个人色彩的故事，故事主旨为命运与家庭、体育与电影、爱与失去。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2688141684.jpg
热门,https://movie.douban.com/subject/35250237/,亡命救护车 Ambulance,2022,动作/犯罪,迈克尔·贝,克里斯·费达克/劳里茨·茫奇-彼得森/拉斯·安德烈亚斯·佩德森,杰克·吉伦哈尔/叶海亚·阿卜杜勒-迈丁/艾莎·冈萨雷斯/加瑞特·迪拉胡特/基尔·奥唐纳/杰克逊·怀特/奥利维亚·斯坦布利亚/摩西·英格拉姆/科林·伍德尔/塞德里克·桑德斯/A·马丁内斯/杰西·加西亚/何塞·巴勃罗·坎蒂略/威尔/德文·隆恩/维克多·高佳卡/杰米·麦克布莱德/珍·普罗斯克/凯利·陈/布兰登·罗宾逊/安娜贝勒·格维奇/刘慈慈/切尔西哈里斯/安迪·费儒/艾恩,5.6,本片翻拍自2005年同名丹麦电影，功勋退伍士兵威尔·夏普（叶海亚·阿卜杜勒-迈丁 饰）为救妻子情急之下找到养兄弟丹尼（杰克·吉伦哈尔 饰）求助，却因此被卷入洛杉矶史上最大金额银行抢劫案。在脱身中出现的致命差池，迫使二人挟持了一辆载有一名垂危警察和一位顶尖急救专家卡姆·汤普森（艾莎·冈萨雷斯 饰）的救护车。在这场持久的高速追逐中，威尔和丹尼极力躲避全城警察的大规模搜捕、保证人质的生命安全、努力不对兄弟拔刀相向，同时完成这场洛杉矶有史以来最疯狂且惊险刺激的逃脱。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2871800734.jpg
热门,https://movie.douban.com/subject/35377026/,熊出没·重返地球,2022,喜剧/动画/儿童,林汇达,万秦/徐芸/蒋琳,张秉君/张伟/谭笑/李婉瑶/程子洋/刘思奇,6.5,有点懒又有点馋的熊二虽然总是各种失误犯错，内心却一直梦想成为一位英雄，以此获得大家特别是哥哥熊大的认可。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2856825681.jpg
热门,https://movie.douban.com/subject/35240920/,X,2022,恐怖,缇·威斯特,缇·威斯特,米娅·高斯/珍娜·奥尔特加/布兰特妮·斯诺/卡迪小子/马丁·亨德森/欧文·坎贝尔/史蒂芬·乌瑞/詹姆斯·盖林/西蒙·普拉斯特/吉奥夫·多兰/马修·塞维尔/布莱恩妮·斯基林顿,5.9,麦克西恩（米娅·高斯 Mia Goth 饰）是一个做梦都想要出名的女孩，可现实是，她沉浸于毒品带来的幻觉和快感之中，并且即将出演一部由她的男友（马丁·亨德森 Martin Henderson 饰）指导的色情片。为了拍摄，麦克西恩和男友、摄影RJ（欧文·坎贝尔 Owen Campbell 饰）、场务洛林（珍娜·奥尔特加 Jenna Ortega 饰），以及另外的一对主演杰克森（卡迪小子 Kid Cudi 饰）、波比（布兰特妮·斯诺 Brittany Snow 饰）驱车来到了一幢地处偏远的宅子处。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2870867333.jpg
热门,https://movie.douban.com/subject/35057107/,我是真的讨厌异地恋,2022,爱情,吴洋,付丹迪/冯莅茗/周轶凡,任敏/辛云来/李孝谦/曹卫宇/张澍/周雨彤/陈宥维/邓超/戚砚笛/朱丹妮/修雨秀/林俊毅/马哲,4.5,要相信：熬过异地，就是一生。故事围绕赵一一（任敏 饰）和许嘉树（辛云来 饰）展开，高考之后，赵一一终于向暗恋多年的许嘉树表白，却阴差阳错开启一场异地恋。他们坚信：熬过异地，就是一生。可远距离恋爱的天然阻碍考验着他们，明明相爱，却不断缺席对方的生活。赛赫（陈宥维 饰）的出现以及闺蜜乔乔（周雨彤 饰）和李唐（李孝谦 饰）一波三折的爱情都让赵一一感触良多。当异地恋升级为异国恋，是继续坚持，还是一别两宽，各自成长的二人不得不面对自己内心的答案……,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2870257091.jpg
热门,https://movie.douban.com/subject/35376457/,爱情神话,2021,剧情/喜剧/爱情,邵艺辉,邵艺辉,徐峥/马伊琍/吴越/倪虹洁/周野芒/黄明昊/王影璐/宁理/张芝华/吴冕/冯玛娅/哈姆扎·穆罕默德·纳吉·萨拉米/孙思瀚/赵胤胤/卫莱/赵国云/杨蔚岚/白红卫/史航,8.1,离异多年的画家老白（徐峥 饰）经朋友介绍认识了同样离异，带着一个孩子的李小姐（马伊琍 饰），老白对李小姐一见倾心，可是李小姐似乎对这段感情有所顾虑，一直止步不前。老白在家里开设了美术班，教成年人画画，格洛瑞亚（倪虹洁 饰）是他的学生之一。热情奔放的格洛瑞亚虽然已经结婚，但是丈夫远在国外常年不回家，她似乎对老白有着超越了师生的感情。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2772925591.jpg
热门,https://movie.douban.com/subject/27124451/,洞 Il buco,2021,剧情,米开朗基罗·弗兰马汀诺,米开朗基罗·弗兰马汀诺/Giovanna Giuliani,Paolo Cossi/Jacopo Elia/Denise Trombin/Claudia Candusso/Mila Costi/Carlos José Crespo/Federico Gregoretti/Antonio Lanza/Nicola Lanza/Leonardo Larocca/Giovanbattista Sauro/Angelo Spadaro/Enrico Troisi/Luca Vinai/Leonardo Zaccaro,7.5,上世纪60年代，经济繁荣，意大利富饶的北部正在修建欧洲最高的建筑，而在该国的另一端，年轻的洞穴学家在未受破坏的卡拉布里亚腹地探索欧洲最深的洞穴。比富尔托深渊的底部、地面下方700米处，将首次迎来人类造访。附近的村民没有注意到这群探险者，但波利诺高原的老牧羊人却注意到他离群索居的生活开始与这群人的探险交织在一起。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2683499043.jpg
热门,https://movie.douban.com/subject/35441371/,隔窗恋爱 A través de mi ventana,2022,喜剧/爱情,马塞尔·弗雷斯,Ariana Godoy,胡利奥·佩纳/克拉拉·加勒/佩拉·卡斯特罗/雨果·阿布斯/艾瑞克·马西普/吉列尔莫·拉什拉斯/Rachel Lascar/Lucía de la Puerta/Natalia Azahara/Marià Casals/Emilia Lazo,5.8,拉奎尔疯狂且不可救药地爱上了迷人而神秘的邻居阿瑞斯。虽然她一直默默地关注着阿瑞斯，但令她沮丧的是，他们却从来没有说过一句话。但是拉奎尔的目标很明确：让阿瑞斯爱上自己。然而，她不是一个傻白甜女孩，她并没想过为此倾尽所有，更不会迷失自我······,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2826255117.jpg
热门,https://movie.douban.com/subject/30359376/,美国女孩 美國女孩,2021,剧情/家庭,阮凤仪,阮凤仪/李冰,林嘉欣/庄凯勋/方郁婷/林品彤/曾宝仪/夏于乔/黄镫辉/张诗盈/蔡嘉茵/蔡明修/张允曦/郭任峰/庞霈心/林苡涵/蔡斯亿/邱诗凌/吴廷华/林群/杨书岚/林真亦,7.3,2003年，移民美国五年的莉莉因罹患乳癌，抱病带著两个女儿芳仪、芳安从洛杉矶回到新店，与疏离多年的丈夫宗辉团聚。芳仪因为中文障碍在班上成绩严重落后，被同学戏称为“美国女孩”。横衝直撞的她面对母亲生病深感无力，最渴望的就是回到美国。随时担心癌症恶化的莉莉不能谅解芳仪的各种叛逆行为，家庭成员之间的紧张关係一触即发。在文化衝突、经济、疾病等压力之下，莉莉与芳仪的衝突节节升高，并在小女儿芳安于SARS期间被医院隔离时达到高峰。莉莉原本即将分崩离析的家庭，因一场意外的疫情被迫面对彼此的心结，进而获得重新开始的契机。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2703935581.jpg
热门,https://movie.douban.com/subject/35282951/,你将不再孤单 You Won't Be Alone,2022,剧情/恐怖,戈兰·斯托列夫斯基,戈兰·斯托列夫斯基,劳米·拉佩斯/萨拉·克利莫斯卡/爱丽丝·恩格勒特/安娜玛丽亚·玛琳卡/卡里托·科塔/安塔·多布罗西/费利克斯·马利陶德/维里卡·内德斯卡/埃雷娜·里斯蒂克/尼古拉·里斯坦诺夫斯基/卡姆卡·托西诺夫斯基/丹尼尔·科瓦切维奇/雅斯米娜·阿弗拉莫维奇/马尔佳·奥普瑟尼卡/普雷德拉格·瓦西奇/米伦娜·尼科利克/尼古拉·马尔科维奇/布拉尼斯拉夫·卡布里洛,7.1,该片为澳大利亚导演Goran Stolevski的长片处女作。故事讲述在19世纪马其顿的一个偏僻山村，一个生活在森林的年轻女巫对人类的生活充满了好奇，她意外地杀死了一个村民，然后用这位村民的皮肤装扮成了人类，这也完全激发了女巫的好奇心，她想要装扮成不同的人类来生活。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2783855500.jpg
热门,https://movie.douban.com/subject/35202363/,新鲜 Fresh,2022,喜剧/惊悚/恐怖,米米·凯夫,劳伦·卡恩,黛西·埃德加-琼斯/塞巴斯蒂安·斯坦/乔尼卡·T·吉布斯/夏洛特·勒·邦/安德丽亚·邦/戴奥·奥柯奈伊/布瑞特·迪尔/阿丽娜·马里斯/威廉·贝勒/Lachlan Quarmby/Sunghee Lapell/Arghavan Jenati/安东尼·英格拉姆/Frances Leigh/Lance Birley/约瑟夫·M·科斯塔,6.3,诺阿（黛西·埃德加-琼斯 Daisy Edgar-Jones 饰）是一个喜欢通过交友软件来结识新人的女孩，某一日，在进行了一场糟糕的约会之后，诺阿在超市里邂逅了名叫史蒂夫（塞巴斯蒂安·斯坦 Sebastian Stan 饰）的男子，两人交换了联系方式。之后，诺阿和史蒂夫开始了约会，并且最终碰撞出了爱情的火花。虽然诺阿的好友茉莉（乔尼卡·T·吉布斯 Jojo T. Gibbs 饰）并不是非常信任这个凭空出世的男人，但诺阿坚信这一次，自己遇到了真爱。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2868322956.jpg
热门,https://movie.douban.com/subject/35305649/,女孩画像 Tytöt tytöt tytöt,2022,爱情,Alli Haapasalo,Ilona Ahti/Daniela Hakulinen,Aamu Milonoff/Eleonoora Kauhanen/Linnea Leino/Sonya Lindfors/塞西尔·奥尔布林/乌娜·艾罗拉/米寇·考毗拉/Amos Brotherus/Bruno Baer/Nicky Laaguid/Oksana Lommi/Yasmin Najjar/Elias Westerberg/Pietu Wikström/Fathi Ahmed,6.8,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2772248698.jpg
热门,https://movie.douban.com/subject/35608160/,喜羊羊与灰太狼之筐出未来,2022,喜剧/动画/运动,黄伟明,吴潮威/刘维/刘泽敏/耿漪淼,祖晴/张琳/邓玉婷/梁颖/刘红韵/高全胜/赵娜,6.8,喜羊羊、灰太狼与一众小羊组成的守护者队进入篮球顶级赛事决赛，但却意外地败北，团队分崩离析。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2797468943.jpg
热门,https://movie.douban.com/subject/30143331/,红色通缉令 Red Notice,2021,喜剧/动作/惊悚,罗森·马歇尔·瑟伯,罗森·马歇尔·瑟伯,道恩·强森/瑞安·雷诺兹/盖尔·加朵/里图·阿亚/克里斯·迪亚曼托普洛斯/伊万·姆巴科普/温琴佐·阿马托/帕斯卡尔·佩塔尔迪/塞思·迈克尔斯/塞巴斯蒂安·拉格/盖·纳尔杜利/罗森·马歇尔·瑟伯/安东尼·贝勒索/丹尼尔·伯哈特/约瑟夫·波多尔斯基/马丁·威廉·哈里斯/汤姆·蔡/罗伯特·克洛特沃西/詹姆斯·威廉·巴拉德/埃尔文·费利西达/杰伊·古铁雷斯/艾德·希兰/Ray Siegle/罗伯特·廷斯利/维多利亚·佩吉·沃特金斯/Robert Mata/Andrew Hunter/George Tsai,6.3,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2702918768.jpg
热门,https://movie.douban.com/subject/25845392/,长津湖,2021,剧情/历史/战争,陈凯歌,兰晓龙/黄建新,吴京/易烊千玺/段奕宏/朱亚文/李晨/韩东君/胡军/张涵予/黄轩/欧豪/史彭元/李岷城/唐国强/杨一威/周小斌/林永健/王宁/刘劲/卢奇/王伍福/耿乐/曹阳/李军/王同辉/艾米/石昊正/许明虎,7.4,电影以抗美援朝战争第二次战役中的长津湖战役为背景，讲述了一段波澜壮阔的历史：71年前，中国人民志愿军赴朝作战，在极寒严酷环境下，东线作战部队凭着钢铁意志和英勇无畏的战斗精神一路追击，奋勇杀敌，扭转了战场态势，打出了军威国威。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2681329386.jpg
热门,https://movie.douban.com/subject/3078409/,古驰家族 House of Gucci,2021,剧情/犯罪,雷德利·斯科特,贝基·琼斯顿/罗伯托·本提维尼亚/Sara Gay Forden,Lady Gaga/亚当·德赖弗/阿尔·帕西诺/杰瑞米·艾恩斯/杰瑞德·莱托/杰克·休斯顿/萨尔玛·海耶克/亚历克西雅·默里/文森特·里奥特/加埃塔诺·布鲁诺/卡米尔·科坦/优素福·凯尔科尔/利夫·卡内/梅迪·内博/安德里亚·皮耶迪蒙特·博迪尼/彼得罗·拉古萨/玛丽娜·奥奇奥诺/市川纯/马达丽娜·珍娜/尼古拉·加洛法洛/彼得罗·培斯/比安卡·纳皮/马里奥·欧普特/凯瑟琳·沃克/阿尔弗雷多·拜尔亚/Eric Alexander/Loris Loddi/卢卡·奇科瓦尼/安德烈亚·布鲁斯基/Florence Andrews,6.3,本片围绕时尚品牌古琦（Gucci）的第三代接班人毛里奇奥·古琦（Maurizio Gucci）的故事展开，毛里奇奥是古琦创建人古琦欧·古琦（Guccio Gucci）的孙子，1995年被一个西西里岛的年轻人枪杀于米兰办公室的楼梯上，他的妻子Patrizia Gucci因策划杀夫一案而被判入狱29年。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2688624729.jpg
热门,https://movie.douban.com/subject/34960939/,主竞赛 Competencia oficial,2021,喜剧,马里亚诺·寇恩,马里亚诺·寇恩/安德烈斯·杜普拉特/加斯顿·杜帕拉特,佩内洛普·克鲁兹/安东尼奥·班德拉斯/奥斯卡·马丁内兹/Nagore Aramburu/何塞·路易斯·戈麦斯/伊琳娜·埃斯柯拉/曼诺罗·索洛/佩拉·卡斯特罗/寇多·奥拉巴利/Ken Appledorn/Mónica Bardem/Martín Brassesco/丹尼尔·查莫罗/Xana del Mar/Stephanie Figueira/Carlos Hipólito/玛丽娜·马修斯,7.1,一个亿万富豪企业家冲动地制作一部经典电影，于是找来知名电影人萝拉（彭妮露古丝 饰）执导这部野心勃勃的大制作，众星云集的主演阵容里有两位重量级、但麻烦多多的演员：荷里活型男菲力斯（安东尼奥班达拉斯 饰）和偏激的舞台剧演员伊凡（奥斯卡马提涅兹 饰），两个传奇人物同时也是死对头。经过萝拉设下一连串光怪陆离的试炼之后，菲力斯和伊凡不只要正面交锋，还要保全各自的名声。当电影终于开拍时，谁能笑到最后？,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2753324569.jpg
热门,https://movie.douban.com/subject/35182979/,远山淡影,2021,剧情/悬疑,贺泉,张良学/贺泉/吴童立,叶硕/周楚濋/杨骏/聂礎一/谢宇朦/董浩然,6.6,90年代，中国中部沿江小县淮川的一起凶杀案，模拟画像师章欣奉命前往画出嫌疑人。却意外画出了一个已经死去了十多年的女人，是原来县文工团的一个舞蹈演员严华。当全部人都觉得章欣画错时，案子却又诡谲的和80年代的一起连环谋杀案关联在了一起。章欣为了证明自己，一步步走向这迷雾之中......,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2867871477.jpg
热门,https://movie.douban.com/subject/27605105/,玉面情魔 Nightmare Alley,2021,剧情/悬疑/犯罪,吉尔莫·德尔·托罗,吉尔莫·德尔·托罗/金·摩根/威廉·林赛·葛雷逊,布莱德利·库珀/凯特·布兰切特/鲁妮·玛拉/托妮·科莱特/威廉·达福/理查德·詹金斯/朗·普尔曼/玛丽·斯汀伯根/大卫·斯特雷泽恩/保罗·安德森/霍特·麦克卡兰尼/小克利夫顿·克林斯/蒂姆·布雷克·尼尔森/吉姆·比弗/大卫·休莱特/拉娜·珍·科洛斯特奇/黛安·巴查尔/德鲁·尼尔森/罗蜜娜·鲍尔/马克·波维内利/提姆·波斯特/林登·波尔科/丹尼·沃/尼尔·怀特利/曼迪·麦克斯韦/杰夫·拉斯基/迪索·拉莫斯/辛西娅·罗恩,6.8,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2757579107.jpg
热门,https://movie.douban.com/subject/30394797/,尚气与十环传奇 Shang-Chi and the Legend of the Ten Rings,2021,动作/奇幻/冒险,德斯汀·克里顿,戴夫·卡拉汉姆/德斯汀·克里顿/安德鲁·兰纳姆/史蒂夫·恩格尔哈特/吉姆·斯特林,刘思慕/梁朝伟/奥卡菲娜/张梦儿/陈法拉/杨紫琼/元华/本尼迪克特·王/弗罗里安·穆特鲁/黎明/本·金斯利/许玮伦/库纳尔·杜德赫克/周采芹/乔迪·朗/达拉斯·刘/钱信伊/费尔南多·钱/扎克·切利/刘家勇/赫小哈/琳内特·柯伦/迪·布拉雷·贝克尔/布丽·拉尔森/马克·鲁弗洛/蒂姆·罗斯,6.1,故事发生在《复仇者联盟4：终局之战》事件之后，尚气（刘思慕 饰）自幼接受父亲（梁朝伟 饰）的铁血战斗培训，精通各种武术招式。长大后为了逃离家乡，他改名换姓展开新生活，认识了新挚友凯蒂（奥卡菲娜 饰），平静日子就这样过了十年，直到过去再度找上门……,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2674321872.jpg
热门,https://movie.douban.com/subject/35068653/,误杀2,2021,剧情/犯罪,戴墨,李鹏/刘吾驷/杨梅媛,肖央/任达华/文咏珊/陈雨锶/宋洋/李治廷/张世/尹子维/姜皓文/陈昊/周楚濋/王昊泽/强巴才丹,5.7,林日朗（肖央 饰）与妻子阿玲（文咏珊 饰）、儿子小虫（王昊泽 饰）一直过着清贫但幸福的生活，直到儿子小虫突发意外急需救治，几经周折，走投无路的林日朗为了救儿子决定放手一搏。他制定了一个惊天计划.....,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2770857575.jpg
热门,https://movie.douban.com/subject/35410155/,监视者 Watcher,2022,剧情/惊悚,科洛·奥野,扎克·福特/科洛·奥野,麦卡·梦露/卡尔·格洛斯曼/伯恩·戈曼/都铎·佩特鲁特/加布里埃拉·布图克/马达莉娜·阿内亚/克里斯蒂娜·德莱努/博格丹·法尔卡什/丹尼尔·努塔/约阿娜·阿布尔/弗拉维·克里桑/斯蒂芬·扬库/弗洛里安·金普/卢西安·约内斯库/拉杜·布内斯库/伊奥纳特·格拉玛,6.3,一名年轻女子和她的未婚夫搬进了一套新公寓，却被隔壁大楼里一个陌生人监视的感觉折磨着。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2872174969.jpg
热门,https://movie.douban.com/subject/35914264/,山村狐妻,2022,悬疑/惊悚,刘轩狄,崔走召,盛冠森/王铭/林枫烨/付赫安琪/恩璟/傅隽/于慧涛/包小平/韩锐/王佳希/郭东海/张海峰/魏劲松/孟波/宋成龙/周三友/李高吉/王庆丰/宋金伟/马文波/高海龙/马尔康/岳冬峰/何雨彤,6.5,民国年间，一场大雨困住了准备渡河前往喇叭沟唱红事的戏班子。雷雨交加的夜晚，与戏班子一同避雨的竟还有杀人如麻的山匪、身份不明的巡捕…一群各怀鬼胎的人，竟都与十五年前的狐妻事件密切相关···,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2874021395.jpg
热门,https://movie.douban.com/subject/26305582/,猫王 Elvis,2022,剧情/音乐/传记,巴兹·鲁赫曼,巴兹·鲁赫曼/山姆·布罗梅尔/克雷格·皮尔斯/杰瑞米·杜内尔,奥斯汀·巴特勒/汤姆·汉克斯/奥利维亚·德容格/海伦·汤姆森/理查德·劳斯伯格/小凯文·哈里森/大卫·文翰/柯蒂·斯密特-麦菲/卢克·布雷西/戴克·蒙哥马利/里昂·福德/加里·克拉克/Yola/娜塔莎·巴塞特/泽维尔·塞缪尔/亚当·杜恩/查尔斯·格朗斯/凯特·马尔瓦尼/加雷斯·戴维斯/尼古拉斯·贝尔/安东尼·费伦/桑德罗·科拉尔利/娜塔莉·巴辛思韦特/马克·伦纳德·温特/休·帕克/克里斯多夫·萨默斯/伊丽莎白·库伦/安琪·米利肯/伊恩·加德纳/梅利纳·维德勒,7.3,《红磨坊》《了不起的盖茨比》殿堂级导演巴兹·鲁赫曼掌舵，《好莱坞往事》新一代男神奥斯汀·巴特勒，联同奥斯卡影帝汤姆·汉克斯，将已故摇滚传奇天王“猫王”埃尔维斯·普雷斯利（Elvis Presley）的一生，震撼而感动地重现大银幕。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2873200217.jpg
热门,https://movie.douban.com/subject/25909236/,致命感应 Malignant,2021,悬疑/恐怖,温子仁,阿克拉·库珀/温子仁/英格丽•温,安娜贝拉·沃丽丝/麦蒂·哈森/吴宇卫/米歇尔·沃特/麦肯娜·格瑞丝/珍·路易莎·凯利/苏珊娜·汤姆森/杰克·阿贝尔/杰奎琳·麦根斯/克里斯蒂安·克莱门松/梅塞德斯·科隆/英格丽•温/乔恩·李·布罗迪/保拉·马绍尔/佐伊·贝尔/娜塔莉·萨福兰/迈克·门德兹/雷·蔡斯/帕翠西娅·维拉奎兹/麦迪逊·沃尔夫/安迪·比恩/帕特里克·考克斯/蕾妮·戴蒙德/玛丽娜·马泽帕/基诺·蒙特斯诺斯/Ruben Pla/Amir AboulEla,6.7,麦迪森（安娜贝拉·沃丽丝 Annabelle Wallis 饰）在梦中不断看到恐怖谋杀案现场的幻象，而这些幻象实际上是真实发生过的凶案，她决定挖掘真相和自己的过去，却发现这一切与一位名叫“盖博瑞”的魔鬼有关。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2672792129.jpg
热门,https://movie.douban.com/subject/34801038/,黑客帝国：矩阵重启 The Matrix Resurrections,2021,动作/科幻,拉娜·沃卓斯基,拉娜·沃卓斯基/大卫·米切尔/亚历山大·赫蒙/莉莉·沃卓斯基,基努·里维斯/凯瑞-安·莫斯/叶海亚·阿卜杜勒-迈丁/乔纳森·格罗夫/杰西卡·亨维克/尼尔·帕特里克·哈里斯/贾达·萍克·史密斯/佩丽冉卡·曹帕拉/克里斯蒂娜·里奇/朗贝尔·维尔森/安德鲁·卡德威尔/托比·奥伍梅尔/马克思·雷迈特/约书亚·格罗斯/布莱恩·J·史密斯/埃伦迪拉·伊瓦拉/迈克尔·X·萨默斯/马克斯·毛夫/帕鲁布·科里/弗莉玛·阿吉曼/安德鲁·罗斯尼/里奥·盛/特尔玛·霍普金斯/约翰·盖耶塔/Donald Mustard/基姆·利布莱利/查德·斯塔赫斯基/朱利安·格雷/陈虎/史蒂芬·邓利维/艾伦·霍尔曼/伊恩·皮里/Nicolas de Pruyssenaere/梅西·麦克利/詹姆斯·麦克特格/威廉·W·巴伯/丹尼尔·伯哈特/埃尔文·费利西达/迈克尔·J·格温/Linda Joy Henry/约翰·洛巴托/安妮-玛丽·奥尔森/艾蒂安·维克/克莱顿·华生/詹姆斯·D·韦斯顿二世,5.7,尼奥（基努·里维斯 Keanu Reeves 饰）和崔妮蒂（凯瑞-安·莫斯 Carrie-Anne Moss 饰）重回矩阵：在这里，一个是矩阵创造出来，周而复始的日常世界，另一个则是隐藏其后，真实的人类世界。为了弄清楚自己所处的“现实”究竟是真是假，尼奥不得不再次做出选择……,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2844387600.jpg
热门,https://movie.douban.com/subject/35683855/,带你去见我妈,2022,喜剧/爱情/家庭,蓝鸿春,郑润奇/蓝鸿春/杨冷/郭竑邑,郑润奇/钟少贤/卢珊/郑鹏生/连锡龙/连映珠/范婵真/李树浩/卢敏敏/黄庚州,7.5,泽凯跟静珊交往两年了，两个人在深圳一起打拼，相伴相依甚是幸福。但在汕头老家的妈妈，却不知道泽凯已经有了女朋友，不停地给泽凯找对象，甚至安排人跑到深圳来跟泽凯相亲。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2831589600.jpg
热门,https://movie.douban.com/subject/27200859/,来自远方 Come from Away,2021,歌舞,克里斯托弗·阿什利,David Hein/Irene Sankoff,詹·科莱拉/Petrina Bromley/De'Lon Grant/Joel Hatch/Tony LePage/Q. Smith/Caesar Samayoa/Astrid Van Wieren/Emily Walton/Jim Walton/Sharon Wheatley/Paul Whitty,9.1,托尼奖获奖百老汇音乐剧《来自远方》(Come from Away)将被改编成电影，The Mark Gordon Company投资制片，原作者、词曲家Irene Sankoff和David Hein将编写剧本，剧版导演克里斯托弗·阿什利也确定执导影片。设定在9·11事件之后，38架飞机意外迫降加拿大纽芬兰与拉布拉多省的小镇Gander，7000名旅客滞留。在被迫停飞的处境下，小镇的居民热情地欢迎并接纳了所有旅客，他们的慷慨善良与恐怖袭击形成了鲜明的对比。文化相互碰撞，人们情绪高涨，不安感转变为信任，音乐响彻深夜，感激最终形成了长久的友谊。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2678455893.jpg
热门,https://movie.douban.com/subject/30447440/,Soho区惊魂夜 Last Night in Soho,2021,悬疑/恐怖,埃德加·赖特,埃德加·赖特/克里斯蒂·威尔逊-凯恩斯,托马辛·麦肯齐/安雅·泰勒-乔伊/马特·史密斯/黛安娜·里格/丽塔·塔欣厄姆/迈克尔·阿乔/特伦斯·斯坦普/山姆·克拉弗林/科林·梅斯/西诺薇·卡尔森/洁西·梅·李/卡西厄斯·纳尔逊/丽贝卡·哈罗德/艾米·卡塞塔利/宝琳·麦克林/乔什·扎雷/伊丽莎白·贝林顿/詹姆斯·菲尔普斯/奥利弗·菲尔普斯/保罗·布赖特威尔/威尔·罗杰斯/安德鲁·比克内尔/亚当·索普/迈克尔·米尔斯/玛格丽特·诺兰/卢克·霍普/迈克尔·吉普森/莉莎·麦格里利斯/艾尔·罗伯茨/德里克·李/Jacqui-Lee Pryce/Alan Mahon/Connor Calland,6.8,艾露思（托马辛·麦肯齐 Thomasin McKenzie 饰）是个性单纯善良的乡村女孩，渴望成为一名服装设计师。凭借着自己的努力，她考上了位于伦敦的艺术学院，怀揣着对未来的期待和对梦想的希冀，她告别的居住在故乡的外婆，独自踏上了求学之路。初来乍到，伦敦的一切在艾露思的眼里看来都是这样的新奇和时髦，但同时，复杂的人际关系和繁重的学业也给艾露思带来了巨大的压力。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2704450439.jpg
