页数,文章链接,文章标题,时间,来源,作者,浏览量
48,https://www.jhc.cn/2021/0510/c4548a132163/page.htm,建工学子喜获浙江省职业院校技能大赛高职组“建筑工程识图”赛项一等奖,2021-05-10,建筑工程学院,张弦波、张琳娜,612
48,https://www.jhc.cn/2021/0510/c4548a132155/page.htm,商学院学子喜获浙江省职业院校技能大赛高职组“市场营销技能”赛项一等奖,2021-05-10,商学院（金义网络经济学院）,陈爱萍,569
49,https://www.jhc.cn/2021/0510/c4548a132087/page.htm,金职院党委副书记龚永坚应邀在全省高校人才工作培训班上作交流发言,2021-05-10,人事处,吴杨伟,920
49,https://www.jhc.cn/2021/0508/c4548a132092/page.htm,旅游学子喜获2021年浙江省职业院校技能大赛高职组“餐厅服务”赛项一等奖,2021-05-10,旅游学院,陈 景 ,505
49,https://www.jhc.cn/2021/0509/c4548a132054/page.htm,省人力社保厅领导到金职院调研人事工作,2021-05-09,人事处,曹敏芳,1063
49,https://www.jhc.cn/2021/0509/c4548a132053/page.htm,忆百年峥嵘岁月 话今朝青春理想,2021-05-09,学生处,徐颂乔 周飞腾,1249
49,https://www.jhc.cn/2021/0501/c4548a131797/page.htm,商学院学子喜获2021年浙江省职业院校技能大赛高职组“会计技能”赛项两项一等奖,2021-05-09,商学院（金义网络经济学院）,单松,984
49,https://www.jhc.cn/2021/0508/c4548a132091/page.htm,信息学子喜获2021年浙江省职业院校技能大赛高职组“电子产品设计与制作”赛项一等奖,2021-05-08,信息工程学院,余红娟,333
49,https://www.jhc.cn/2021/0508/c4548a132019/page.htm,医学学子喜获2021年浙江省职业院校技能大赛高职组“护理技能”赛项一等奖,2021-05-08,医学院,肖宁 周飞腾  潘超君 陈桂园,921
49,https://www.jhc.cn/2021/0508/c4548a132006/page.htm,制药学子喜获2021年浙江省职业院校技能大赛高职组“化工生产技术”赛项一等奖,2021-05-08,制药学院,吴昌胜,688
49,https://www.jhc.cn/2021/0507/c4548a131967/page.htm,赛教融合 课证融通   机电工程学院在“岗课赛证”融合上下功夫,2021-05-07,机电工程学院,方敏,1996
49,https://www.jhc.cn/2021/0506/c4548a131904/page.htm,医学学子喜获2021年浙江省职业院校技能大赛高职组“中药传统技能”赛项两个一等奖,2021-05-07,医学院,张慧芳,1374
49,https://www.jhc.cn/2021/0506/c4548a131905/page.htm,师范学子喜获2021年浙江省职业院校技能大赛高职组学前教育专业教育技能赛项一等奖,2021-05-07,师 范 学 院,胡云莺 曲晓苑,1168
49,https://www.jhc.cn/2021/0506/c4548a131885/page.htm,金职院与省十里坪监狱签署倡议合作协议,2021-05-06,商学院（金义网络经济学院）,叶旋,1282
49,https://www.jhc.cn/2021/0428/c4548a131794/page.htm,信息学子喜获2021年浙江省职业院校技能大赛高职组“移动应用开发”赛项一等奖 ,2021-05-06,计算机应用及软件技术专业,黄博闻 何征男,988
49,https://www.jhc.cn/2021/0501/c4548a131778/page.htm,对接数字经济发展新高地，合力打造数字产业高质量人才供给“重要窗口”,2021-05-01,商学院（金义网络经济学院）,徐腾飞,1363
50,https://www.jhc.cn/2021/0501/c4548a131777/page.htm,金职院党委书记王振洪调研党史学习教育，要求进一步推进党史学习教育走深做实,2021-05-01,宣传部（文化育人办公室）,李琳摄影郑胜杰,1302
50,https://www.jhc.cn/2021/0430/c4548a131769/page.htm,金职院党委举行2021年第四次党委理论学习中心组（扩大）学习会,2021-04-30,宣传部（文化育人办公室）,王璐 摄影 郑胜杰,822
50,https://www.jhc.cn/2021/0430/c4548a131739/page.htm,党委副书记龚永坚当选浙江省高等教育学会高校师资管理研究分会副理事长,2021-04-30,人事处,吴杨伟,778
50,https://www.jhc.cn/2021/0430/c4548a131735/page.htm, “学党史、强信念、跟党走”——金职院隆重举行庆祝建党100周年“五•四”主题团日活动暨表彰典礼,2021-04-30,校团委,胡宇翔,1030
50,https://www.jhc.cn/2021/0430/c4548a131715/page.htm,信息学子在“中国高校计算机大赛-团体程序设计天梯赛”全国总决赛中喜获佳绩,2021-04-30,信息工程学院,梅旭时,624
50,https://www.jhc.cn/2021/0428/c4548a131663/page.htm,副校长成军受邀出席中英学徒制在线论坛 共话技术技能人才培养之道,2021-04-28,教务处,杨剑静,1016
50,https://www.jhc.cn/2021/0428/c4548a131661/page.htm,金职院对口支援院校新疆阿克苏职业技术学院领导一行来校洽谈交流,2021-04-28,合作与发展办, 徐茹倩 摄影 王天,1017
50,https://www.jhc.cn/2021/0428/c4548a131653/page.htm,信息学子喜获2021年浙江省高职院校职业技能大赛“软件测试”赛项一等奖 ,2021-04-28,信息工程学院,梅旭时 何征男,730
50,https://www.jhc.cn/2021/0427/c4548a131583/page.htm,金职院党委召开2021年第一季度全面从严治党工作专题会议,2021-04-27,学校办公室,陆海峰  ,925
50,https://www.jhc.cn/2021/0424/c4548a131458/page.htm,金职院党委书记王振洪出席全国高职院校党委书记 嘉兴南湖峰会并作专题报告,2021-04-24,学校办公室,王升,2591
50,https://mp.weixin.qq.com/s/CUaV45yXZPXNU8tDMVZxPQ,接种新冠疫苗 共筑免疫长城,2021-04-23,,,
50,https://www.jhc.cn/2021/0421/c4548a131324/page.htm,学校召开校党委第三轮巡察工作动员部署会暨建筑工程学院巡察工作动员会,2021-04-21,巡察办,谢华 摄影 方凯强,1226
50,https://www.jhc.cn/2021/0417/c4548a131032/page.htm,金职院联合发起的职业院校高质量发展研究中心在北京正式成立,2021-04-17,金华职业技术学院,,1860
50,https://www.jhc.cn/2021/0417/c4548a131026/page.htm,跟随总书记足迹  重温共产党人的初心和使命,2021-04-17,宣传部（文化育人办公室）,陈晓明 摄影 郑胜杰,1174
51,https://mp.weixin.qq.com/s/jF9pqTGGfUJbcQ726Xh3fg,2021年金职院高职提前、“三位一体”招生开考,2021-04-17,,,
51,https://www.jhc.cn/2021/0416/c4548a130928/page.htm,金职院举行知联会换届大会 选举产生新一届理事会,2021-04-16,校知联会,蓝巍 摄影 郑胜杰,1071
51,https://www.jhc.cn/2021/0415/c4548a130785/page.htm,“你眼中的最美‘窗口’”大型理论宣讲活动走进金职院,2021-04-15,公共基础学院（马克思主义学院）,张嗣尧 摄影 孙立臣,1490
51,https://www.jhc.cn/2021/0413/c4548a130701/page.htm,朱高峰院士一行莅校调研,2021-04-13,宣传部（文化育人办公室）,郑胜杰,1662
51,https://www.jhc.cn/2021/0409/c4548a130575/page.htm,民进金华职业技术学院支部召开第五届换届选举会议,2021-04-09,民进金华职业技术学院支部,王丽 摄影 王天,2205
51,https://www.jhc.cn/2021/0407/c4548a130510/page.htm,金职院党委巡察工作领导小组第六次会议召开,2021-04-07,巡察办,吴天昊,1281
51,https://www.jhc.cn/2021/0402/c4548a130294/page.htm,金职院与金华市第二医院举行“医校合作”项目签约仪式,2021-04-02,学生处,湛 淼,1474
51,https://www.jhc.cn/2021/0402/c4548a130245/page.htm,艰辛的探索 辉煌的成就 —— 金职院党委开展第十四期“夜学”,2021-04-02,宣传部（文化育人办公室））,于辰辰 摄影 王天,1703
51,https://www.jhc.cn/2021/0401/c4548a130202/page.htm,深化山海协作  推进政校合作,2021-04-01,合作与发展办公室, 徐茹倩  摄影：郑胜杰,1262
