页数,文章链接,文章标题,时间,来源,作者,浏览量
31,https://www.jhc.cn/2021/1222/c4548a140098/page.htm,金职院入选教育部“一站式”学生社区综合管理模式建设自主试点单位,2021-12-22,学生处, 陈颖燕,1032
32,https://www.jhc.cn/2021/1220/c4548a140055/page.htm,金职院召开新提任科职干部任前集体谈话暨廉政谈话会,2021-12-20,金华职业技术学院,姜伟仁,1378
32,https://www.jhc.cn/2021/1217/c4548a140007/page.htm,金职院入选教育部-联合国儿基金会“核心能力提升”青少年教育合作项目试点院校,2021-12-17,教务处,盛胜航,683
32,https://www.jhc.cn/2021/1217/c4548a139995/page.htm,金职院当选为中非（南）职业教育联盟副理事长单位,2021-12-17,国际合作交流处, 李宇圣,542
32,https://www.jhc.cn/2021/1216/c4548a139981/page.htm,金职院两个众创空间成功入选2021年度省级众创空间,2021-12-16,就业指导处、创业学院,潘方斌、费锋、张俊福,595
32,https://mp.weixin.qq.com/s/pRXBiM1agDuKNnIXX3czGA,金职院组织开展综合性校园临时封闭管理应急演练,2021-12-15,,,
32,https://www.jhc.cn/2021/1215/c4548a139893/page.htm,金职院10名专家入选新一届全国行（教）指委委员,2021-12-15,教务处　,张猛,1010
32,https://www.jhc.cn/2021/1210/c4548a139801/page.htm,金职院获批教育部首批瑞士乔治费歇尔智能制造创新实践基地培育建设单位,2021-12-10,机电工程学院, 娄珺,1135
32,https://www.jhc.cn/2021/1210/c4548a139784/page.htm,金职院申报9个省级产教融合项目全部获得立项,2021-12-10,教务处（校企合作处）,蒋妙琦,1077
32,https://mp.weixin.qq.com/s/vQwJin6O90ZGZSSC9hlCKg,金职院开展校园安全专项整顿督查工作,2021-12-10,,,
32,https://mp.weixin.qq.com/s/hvsLNgjgDBBjLwwLLBceiQ,金职院召开疫情防控工作研究部署会议,2021-12-08,,,
32,https://www.jhc.cn/2021/1206/c4548a139636/page.htm,金职院海外分校办学案例入选《““一带一路””教育国际交流优秀案例选集》,2021-12-06,国际合作交流处 ,  金晓  李宇圣,603
32,https://www.jhc.cn/2021/1206/c4548a139635/page.htm,金职院党委专题研究党建工作,2021-12-06,组织部 ,陈静泓,1105
32,https://www.jhc.cn/2021/1204/c4548a139591/page.htm,金职院2022届毕业生“三结合”视频双选会成功举办,2021-12-04,就业指导处 创业学院 ,孟东方,681
32,https://www.jhc.cn/2021/1204/c4548a139590/page.htm,科技引领 创新驱动——金职院-浙大金华研究院签署倡议合作协议,2021-12-04,信息工程学院,周荃,881
