工作名称,地址,薪资,经验要求,学历要求,技能要求,联系人,公司名,公司相关信息,公司福利,详情页url
Atlas人工智能计算平台算法,杭州/滨江区/西兴,20-40K,经验不限,学历不限,深度学习算法/视觉图像算法/C++/Python/tensorflow/pythorch,杨志龙/解决方案SE,华为技术有限公司,计算机软件/不需要融资/10000人以上,五险一金/定期体检/员工旅游/零食下午茶/加班补助/离职补偿/年终奖/餐补/全勤奖/通讯补贴/住房补贴/股票期权/补充医疗保险/交通补助/免费班车/节日福利/带薪年假,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.11&securityId=oHzkkMpYJjo08-v1u4TmQLobVF5wq_O7040_y0Sg1TxwsuJACy_8026bmCewLpE-ei6VCyXg9BbtF11FoSNnnCun_51ve7oqrXuy6stb5ICw4pz6yxRfwqgThDdhCMRg29R2FqB1
人工智能算法实习生（校招）,杭州/西湖区/文三路,2-3K,经验不限,学历不限,算法设计/深度学习算法/机器学习算法,耿秀君/招聘专员,东信北邮,移动互联网/不需要融资/1000-9999人,补充医疗保险/加班补助/交通补助/节日福利/餐补/带薪年假/五险一金/通讯补贴/生日福利/意外险/员工旅游/定期体检/年终奖/住房补贴,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.12&securityId=NGJQewkU1krs6-P1hmklfbqWrmEx0YYpmQVPR_92Ljw5Y_qSvCAurGz_LyUZbdNbbKbDycXFFWIKgjKhtbNoiClylMTeUMVmemFcvyFqhHi36JN4x_vrd3DZ0IK6RAvWgACnnhKIcg~~
华为人工智能计算平台算法,杭州/滨江区/长河,20-40K,经验不限,学历不限,深度学习算法/视觉图像算法/Python/C语言/TensorFlow/Caffe/PyTorch,屈超富/高级软件工程师,华为,计算机软件/不需要融资/10000人以上,餐补/补充医疗保险/年终奖/定期体检/零食下午茶/股票期权/员工旅游/加班补助/五险一金/节日福利,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.13&securityId=FyLMf3M9jfKOI-O1H3GV501nGM68v1shxlNSkQeau9IIurzkY6Rbsq-rHdmPmUMBd9Mddwpg_KKJqV5YVg99lchEmSOeccC0hUVYoLaBo_taO8rYz7slkKgJqbGlsiwSLfRshA~~
人工智能实验室-算法引擎平台研发专家,杭州/余杭区/仓前,18-36K,经验不限,学历不限,搜索/自然语言处理/机器学习,徐贤仲/架构师,阿里巴巴集团,互联网/已上市/10000人以上,零食下午茶/员工旅游/五险一金/交通补助/年终奖/节日福利/股票期权/免费班车/餐补/补充医疗保险,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.14&securityId=peTAtSmVd5-0T-G1_kk4Ph4U5hdeIjqbqJjLCdvX23Y_48AZAgYi-pX1vV-TSQwMsMGil0vjgnqkK_ALsnAI8cAV86sd6mR0cuki8_v4k1U-0W9Ty3NmhgywH1wa4WK4Y53j
人工智能算法研究专员,杭州/余杭区/老余杭,20-35K·15薪,经验不限,博士,算法设计,刘女士/招聘专家,之江实验室,学术/科研/不需要融资/1000-9999人,团建聚餐/餐补/住房补贴/员工旅游/免费班车/带薪年假/定期体检/年终奖/节日福利/有无线网/高温补贴/集体户口/五险一金,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.15&securityId=BFtdM2tx12GZW-T1WbvGY5LrTRlJCb4zUzsab2oWqCAPSAEFIhcrnWD67FDX5xtRAuIzuY3_kQmfgOCn-zQxBa6OsHEXdC8SU9AbMssd_GKIeWXqnwU_rr9JB1gIlDwmi0Awf-Q_g9Y~
人工智能算法工程师,杭州/西湖区/三墩,280-300元/天,,硕士,算法设计,乔宇/人事,天玑科技,数据服务/已上市/500-999人,补充医疗保险/定期体检/五险一金/通讯补贴/带薪年假/餐补/交通补助,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.16&securityId=CVESWmyNTtEgR-G1d83QfFPLQrP_FeKwefJ5HhdB6Sg1AwU7mhjNX6NCRV7B4jF-YVpllae_rhyvD7Ae6cjTVWkf-vn59qa4sREmhEN5FUUrSlqmuAXcoNO1-tTKy3FSmMv9wZvdFA~~
人工智能应用工程师实习生（游戏AI）,杭州/滨江区/长河,200-300元/天,,本科,TensorFlow/PyTorch,周家杰/校园招聘经理,网易游戏,游戏/已上市/10000人以上,免费班车/交通补助/定期体检/餐补/年终奖/包吃/五险一金/补充医疗保险/股票期权/员工旅游/节日福利/带薪年假,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.17&securityId=2G6McJAb9HQpm-O1tErg6_48wrL-VoNkpe1NSqoZAZDurj4xoQcj4mE1lI6CT06ajphXhRO7TCkV38rd6d87V35aDJboKf79N0WVJuFmr9jaBW_aH5wkDYRrxwqurYuyli6fCxxa4Q~~
C/C++开发工程师-人工智能方向,杭州//,45-70K,经验不限,本科,TensorFlow/PyTorch/C++,周先生/猎头顾问,某计算机软件公司,计算机软件/A轮/20-99人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.18&securityId=DYJtwLJUZ36oT-i1JthPYRxqu8c-vYl8B3c8m9VzqQMv2wDakqTj5tek7ZmIRjgAHTNrEitZZDhtO0Ih9V_kHlKaXyVj4J4hL9azfNj0C9kWE52jGFxWz7e6Nx3g2gQpHeOmWahFC38J
华为人工智能计算平台算法,杭州/滨江区/长河,20-40K,经验不限,学历不限,深度学习算法/视觉图像算法/推荐算法/搜索算法/Python/C语言,蔡志方/高级工程师,华为技术有限公司,计算机软件/不需要融资/10000人以上,年终奖/零食下午茶/定期体检/加班补助/全勤奖/员工旅游/五险一金/交通补助/通讯补贴/补充医疗保险/餐补/股票期权/免费班车/节日福利/住房补贴/带薪年假/离职补偿,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.19&securityId=ziAPKtAxGHeGM-111CtW89nlXHUILWff9FRecxcSfaZz5G7Wa3DjEdcDGiZBetxXeDwDwudIzX7QtmZRE_ikbUriqqrwdHhNLZ8CYlUUtA3vfo4Amc0w3VaKqy0HqTkXaZzHMWB1
华为人工智能计算平台算子开发工程师,杭州/滨江区/长河,20-40K,经验不限,学历不限,深度学习算法/自然语言处理/Python/C语言/TensorFlow/Caffe/PyTorch,屈超富/高级软件工程师,华为,计算机软件/不需要融资/10000人以上,五险一金/补充医疗保险/定期体检/股票期权/零食下午茶/员工旅游/年终奖/节日福利/加班补助/餐补,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.20&securityId=Gk2RIFvyqdYy4-a1fQRVXpNa5Vlv3JLKrHUlZIissWVpXFHTKZVkiC2lVnfxIoJ4IctvQEfCPxsa4CFSxkjVyxVow5yqHcKajZQqORqacRO1kB_KDapLLBxkICoRIZD_Qj_HZQ~~
