job-card-left href,job-name,job-area,salary,tag-list,tag-list 2,info-public,info-public 2,company-logo href,company-logo src,company-name,company-tag-list,company-tag-list 2,company-tag-list 3,tag-list 3,info-desc,tag-list 4,tag-list 5,tag-list 6,tag-list 7,tag-list 8
https://www.zhipin.com/job_detail/79f497ef05c3a1ed1Xd90t6_GVJQ.html?lid=3CX9QjUamn0.search.11&securityId=J9OnK0bVQ5nwb-51vZQRnlLnFXRfD_TtEgm3pBaqvSfEvyTENTRu8_xZ2Lr-YhAoW79cce1oZa6hpwnYxVlcVk0R9H1bmKu1cpJB3NGlqQv468h9vxYGYY2bc8yjmYukzrHpfzHIfJyw7Q~~,数据分析师,北京·朝阳区·世贸天阶,8-13K·24薪,经验不限,学历不限,张月强,招聘者,https://www.zhipin.com/gongsi/b7d50cbcb059e9dc1XZ73ty_E1c~.html,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",恒瑞拓鑫,其他专业服务,100-499人,,经济/工商管理相关专业,,,电商/零售行业数据相关经验,风控相关经验,,
https://www.zhipin.com/job_detail/7a571c087876c9f103Z9392-EVA~.html?lid=3CX9QjUamn0.search.12&securityId=9xnl_B26aaDPO-K1QvnRwMFRI496kyumt8kjt9oUOW5YnvOHNGdCbhyQSxQ2gHCE6AJpMmFg7RKMtwu1mhQdhnJpDyD7IMYmPYPKj1BvSwQ0XV8ZQW5sVNGU4NS1iK3GTXE~,数据分析师,北京·朝阳区·太阳宫,10-15K·16薪,在校/应届,本科,李晓艺,数据分析师,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html,"https://img.bosszhipin.com/beijin/mcs/banner/3e9d37e9effaa2b6daf43f3f03f7cb15cfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",BOSS直聘,人力资源服务,已上市,1000-9999人,SQLServer,交通补助，股票期权，员工旅游，加班补助，带薪年假，餐补，年终奖，补充医疗保险，节日福利，五险一金，住房补贴，定期体检,,python,,,
https://www.zhipin.com/job_detail/af1c81e2d78445b11nF52dW9EVVV.html?lid=3CX9QjUamn0.search.13&securityId=4feGWHAO-uQXh-b1_olFPpwbEMA0Ubp7CADhnowiUt0ZmzW3opHTAtyVYaHJGlQggpA6HGQ6W_80ZaACW58ZQrFs-yz5hcwHpxbIlSXyLa8Pd4nLu1LzzeHSNr0LinOxuzEIJySCEtk~,数据分析师,北京·朝阳区·国贸,7-11K·13薪,在校/应届,本科,谢文娟,创始合伙人,https://www.zhipin.com/gongsi/8b032f8e7d24aa9e1Xdz29W9EQ~~.html,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200910/756f834486f17e955c9d5936d3e3c19497eb26e45c749f3b8958661ddd36d880_s.jpg?x-oss-process=image/resize,w_100,limit_0",聚德公司,企业服务,未融资,0-20人,相关分析,员工旅游，交通补助，通讯补贴，零食下午茶，五险一金，年终奖，定期体检，节日福利，带薪年假,,决策树,描述统计,,
https://www.zhipin.com/job_detail/a3ffcbcaa1a6687a1nV929m6F1RV.html?lid=3CX9QjUamn0.search.14&securityId=aCrjgudcClFwS-u1mMxKYEtXS7c8dXW1nqousnbDi-cbGq502QiUpKaZoxnrqZKavwNYTcPVXmedieDLqR-0Go_aiQgL3B-SeDn8jEbKRVSuAfgPY-ioDw0WUjMrE8pnxHvrwG4~,数据分析师,北京·朝阳区·望京,10-12K·14薪,在校/应届,本科,张悦,数据分析,https://www.zhipin.com/gongsi/7a2b06c8787b8fb30nBz2A~~.html,"https://img.bosszhipin.com/beijin/mcs/bar/20200618/88407634357a8a9d8594523b0dbb754ebe1bd4a3bd2a63f070bdbdada9aad826.png?x-oss-process=image/resize,w_100,limit_0",一点资讯,移动互联网,D轮及以上,1000-9999人,Python,五险一金，员工旅游，股票期权，定期体检，带薪年假，补充医疗保险，节日福利，零食下午茶,,SQL,Excel,SPSS,Hadoop
https://www.zhipin.com/job_detail/6af857b4df975d231nZ72t-9GFBQ.html?lid=3CX9QjUamn0.search.15&securityId=JIDBmqc9CAQPp-s15v6G6Qk9mnFXbyQB5oEo0QMu4rp5jZrmmZrG9Ocvbt2NDoqwOyG98TmtVMmprbtWKw369vda6Jkw4B8iplrn9C9dZtBCufrAAvO3uUF7czj6h7Eiz124PNG-SnY~,数据分析师,北京·海淀区·上地,10-15K,经验不限,学历不限,卫贝,HR Manager,https://www.zhipin.com/gongsi/fb7085e04f2e7b761nZy09m4GQ~~.html,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200102/685bfecf943865809f7da9139442f10fdac661477d3b5fdd5e3cecd94d8d6a4b_s.jpg?x-oss-process=image/resize,w_100,limit_0",思源智能,智能硬件,B轮,20-99人,Python,节日福利，工龄工资，股票期权，带薪年假，员工旅游，五险一金，年终奖,,Matlab,,,
https://www.zhipin.com/job_detail/70162068d996618a1XR43tS0FVpQ.html?lid=3CX9QjUamn0.search.16&securityId=ONNrCRDAh7-IV-e1tcT6NLrfCqM1hdG4_CNdk19q7T8NglhFCMiTVeMcjjBoP4PL7uNguxQODzHe2XmEiWl-SK1oYQ8FJ9WRKKyfy3eBoOAkZeV7TWTK3c2yiL9bGjaJDIeVeLBNaxWD,数据分析师（北京）,北京·海淀区·万柳,12-20K·13薪,在校/应届,硕士,朱莎,人事主管,https://www.zhipin.com/gongsi/6de5130dccd0ce051nx_2t-5FVU~.html,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20210826/7bf6f160950405e90b7163be87505d2b7c8ba5cb48bee0f9f405ae2f563e4b1793803259a04ea8ea.jpg?x-oss-process=image/resize,w_100,limit_0",麦可思数据科技,数据服务,未融资,100-499人,SPSS,交通补助，餐补，零食下午茶，年终奖，定期体检，五险一金，带薪年假，节日福利，通讯补贴,,SAS,R,Excel,
https://www.zhipin.com/job_detail/27033320d66cb68f1Xd83tW0E1pV.html?lid=3CX9QjUamn0.search.17&securityId=N21XWPjbiJymg-S1kcRruoBHX7xmdq6avQ5QjKOit1NzqLZi8wP5zZo2X6o3G_qKsL5v0o4N8jV_n7Fr3fjO8PyQjwUChyX1scThDk07wB5oW3sHH47BQ2j9W6opYMvB88DhjZ-Zoi9n,助理数据分析师,北京·朝阳区·建国门,6-10K,在校/应届,本科,谢先生,HR,https://www.zhipin.com/gongsi/d27b6b6534fb71bd1XV83ti_FVM~.html,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",黑狮智高,移动互联网,20-99人,,SQL,,,Python,Power BI,,
https://www.zhipin.com/job_detail/e683b714d2a844161nFz3t6_FFNR.html?lid=3CX9QjUamn0.search.18&securityId=HCpgJ0IQ37PXP-Q1A9lsW9q4yVTHANjYMyMDNB8MXGmDGmbPFBrcFI59cid5IDKgDj99Fa4oNlHcZzi8zMXac5jH0sxrF5B_77h_gL3XRyoZWPfESETBjCHaDqR5Dou8PgKiWHaAEZE~,数据分析师,北京·海淀区·学院路,150-200元/天,4天/周,2个月,常女士,招聘者,https://www.zhipin.com/gongsi/1a50c969869377181HFz09-8GA~~.html,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",汇承,企业服务,0-20人,,Python,,本科,SQL,Excel,Pandas,
https://www.zhipin.com/job_detail/2dd3132cccbb0cd41nxy2du4F1JS.html?lid=3CX9QjUamn0.search.19&securityId=V8FJZkHCMYztT-C1WWE3RnO4aVdHsmUxrV3Be6wIFv5BxTXws3Nr9hRFRcSkT6zVeIM-oXjlyZp5ua4jLwHCvXxBobLD16ldskGKa2ds9aGydmtqkecgnQTejJtyVzL1VoOFTHAM5fF2,数据分析师,北京·海淀区·双榆树,100-120元/天,5天/周,6个月,李政倓,数据分析师,https://www.zhipin.com/gongsi/984243dbd83d32b31XV629u0EVs~.html,"https://img.bosszhipin.com/beijin/mcs/bar/20200430/4204e9c9f200b00b77fb59d093acd281be1bd4a3bd2a63f070bdbdada9aad826.jpg?x-oss-process=image/resize,w_100,limit_0",腾讯,互联网,不需要融资,10000人以上,SQL,包吃，零食下午茶，免费班车，免费早晚餐，带薪年假，五险一金，员工旅游，交通补助，定期体检，公仔周边活动，住房补贴，餐补，补充医疗保险，免费健身房，年终奖，股票期权，节日福利,本科,Python,,,
https://www.zhipin.com/job_detail/3946d4f22e2089251n1z29-1F1FV.html?lid=3CX9QjUamn0.search.20&securityId=SLi86shwcEGP9-i14iUb6TftjCzUqCiheXoksU3fGFUxx4e7pdm-pkQU1-dQWCTZxAmP8K6Q9-gyzCMcDBZKNM9Sda-H--wymtWU_MMvHLpxT2cock6kARw4MwKx4oooG-extAN07RyK,数据分析师,北京·海淀区·五道口,21-22K,在校/应届,博士,段亚斌,HRBP高级主管,https://www.zhipin.com/gongsi/90725061de381f4c1n162Ny9E1I~.html,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",巴州瑶光财务,数据服务,20-99人,,R,,,Stata,mplus,生信,Matlab
