工作名称,地址,薪资,经验要求,学历要求,技能要求,联系人,公司名,公司相关信息,公司福利,详情页url
数据分析师实习生,北京/朝阳区/大望路,200-250元/天,,本科,SQL/Python,马方平/CEO,酒台网,媒体/A轮/20-99人,五险一金/股票期权/员工旅游,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.60&securityId=7MAA5J72epRlk-Z1gS0G3IR9e0KrWZ06lfWHkjrTrCOY9Z5ROtfYFkSure-dyY0vjqQpvP55ACee314sneo8PpBh0kPvGk-pcdgoOlvhaOGAkvv8WvJrRvVT4qc_t5eYUGjeiz4r4Vy3
高级数据分析师（运营）,北京/朝阳区/立水桥,15-25K·14薪,经验不限,学历不限,MMORPG/游戏/手游/Tableau,李女士/HRBP专员,龙图游戏,游戏/D轮及以上/1000-9999人,定期体检/五险一金/节日福利/加班补助/年终奖/全勤奖/带薪年假/补充医疗保险/零食下午茶/员工旅游/餐补,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.61&securityId=SCuH9nb8b5lVn-l1nToTCEhMWFE8iJii9mUNLYkzjlBYZJ01lj60dGl5slbKPyRQmqQb_os4ij5Qxszs1KsEsapkx2VRsYaX1IrW237TPfWmbQZZq1dyXkFNQyrof4SUUbZ29-QhENc~
数据分析师 (MJ000095),北京/朝阳区/望京,35-45K·14薪,经验不限,学历不限,Python/SQL/Java,孙先生/北京HRBP,数数科技,数据服务/C轮/100-499人,年终奖/补充医疗保险/节日福利/股票期权/打车报销/定期体检/带薪年假/入职体检/企业资质/五险一金/带薪病假/零食下午茶/加班补助/苹果电脑办公/员工旅游,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.62&securityId=IGypfcGUmH48v-41RReuULHOvQNCcjxmKQkmAgVg2_q2e-dLkm-aSKLpm30L8qp5OZcx3WmFq5QQNXcB_jBNxbhJ4IITMTMgAdVaB2bCAtI8uGZmsArfycSP2Km6xfSUo3nwouUc3w~~
数据分析,北京/海淀区/上地,10-15K,经验不限,学历不限,SQL/Power BI/Excel,包海雁/招聘HR,高途集团,在线教育/已上市/10000人以上,带薪年假/年终奖/补充医疗保险/团建聚餐/节日福利,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.63&securityId=E0OMK0B0-Jlte-k1bsc98xCUhEAbm9aIHfaFlgAqvOy737YGzcUTKvliOPH_EjiPjFt_fL72GsIwFaTR6xhfLn_e5CSWYcf6nc0VWYBMzORH9QcN-8FX3KzVwR7klITMAtZM4PIECL49d5Lidfyeytqxt7mAe_1bKwqVF5IGk-giMZQz
2022校招 | 数据分析师,北京/朝阳区/奥运村,16-18K·15薪,在校/应届,本科,Python,金孟/校招HR,博乐科技,游戏/B轮/500-999人,带薪年假/补充医疗保险/定期体检/员工旅游/五险一金/年终奖/包吃/餐补/住房补贴/节日福利/零食下午茶,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.64&securityId=ug4HNv2OXlOxE-61d2-w3nNAhN6hm2Yw5KXjfkAcyQujQgil-g02pqB-iYSaEBrW_K4q6AxYKZCiY5wRjlMxSAd26WXhtbiOCy5uuyQ_z5gQlqUd76jPnrzTV5n8LqT5ekGWTjVCh2PxaQ~~
数据分析师（实习生岗位）,北京/海淀区/五道口,180-200元/天,,本科,数据分析/SPSS/Python/大数据/Excel,牛晓莉/招聘者,小立教育,移动互联网/A轮/0-20人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.65&securityId=9WHy4AyJOtSx0-91OFSfgkzaUlqEb6B3ArJFFJpmQLkYHgZ97T6ikkD3rFzVHIMy2aD2mDPQg3C8NlCCaPPxk4gp38gUnhX4Qxwn6b71gehnL2GR1sZ1CdLAdHBWnqxk8rc-NTh0
数据分析 (MJ001439),北京/东城区/东单,15-25K,在校/应届,本科,Power BI/Tableau/SQL,许女士/HRBP,云非科技,互联网金融/C轮/500-999人,交通补助/补充医疗保险/节日福利/带薪年假/股票期权/包吃/五险一金/餐补/年终奖,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.66&securityId=5pCTMuQIZI8a4-N1cPEVtDc3eCc6WWFRTOmMQ84aSEh-GbM9JxSgfudWcTKbUYYSLYlSblGavRIy6saD2bOYjvD571uW5Qfd9k2brmjfJwH0o8MAJ_GaYtuEIZ2rphqzxgboocmPEA~~
急招数据分析师（22年春招补录）,北京/海淀区/西北旺,15-25K·15薪,在校/应届,本科,Python/Tableau,郭女士/hrbp,Aibee,互联网/B轮/500-999人,零食下午茶/年终奖/技术氛围好/餐补/节日福利/定期体检/免费班车/五险一金/带薪年假/住房补贴/补充医疗保险/股票期权,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.67&securityId=qWedvpKgXy6Wf-M1xihBK_avcvIKYLVh-GMo1MYVtPeEDiX0212HHxcd3OyNa760zx-TiAVaIp4DhzaPuD5XYSrGWt_y-2dgR0D8-GiMHw1r9_lOKmpA21BmXxyhXCcy9hJPkZeZuTb6
数据分析专员,北京/海淀区/西北旺,9-14K,在校/应届,本科,相关分析/Excel/SQL/Python/描述统计/经营数据分析,程先生/HR,北京千喜鹤公司,餐饮/不需要融资/10000人以上,五险一金/节日福利/住房补贴/通讯补贴/交通补助,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.68&securityId=C9r7hiqw39D2T-B1ohXtJPlFAfpWPJ--zASgVsHyJbjbAF8A7aNS2KnZ8KY5nolWWNtrCzezXV0H36Fo7zIUSPfDpXdLuKultnPSoSI6yPu2z3pEcL8jR4Bd15_GTYnAmucx5sWKwD0U
数据分析专员,北京/海淀区/航天桥,6-10K,在校/应届,本科,商业分析/数据分析/数据挖掘,李女士/招聘经理,中视购物,贸易/进出口/不需要融资/500-999人,补充医疗保险/五险一金/定期体检/餐补/带薪年假/节日福利,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.69&securityId=o1SNLxNOnOWLg-z16tzFnbw4c54v_XdiyQ7-bUy7L0N3PtqCF_5kddhuJ_ZP4MNhUwLc4La9FKHfN4FixWm0YSsWHtxwKnhpAtqJS5S60q8lwnaaB-0Uj-t8J6iDIIe6lsojLYys
数据分析专员,北京/朝阳区/高碑店,6-10K,在校/应届,本科,Python/Excel/SPSS/BI,李晖/招聘主管,环球购物,媒体/不需要融资/1000-9999人,餐补/免费班车/年终奖/全勤奖/五险一金/带薪年假/节日福利,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.70&securityId=1kFb4cid8Tn0S-I1mrGjL-QW4vO4cKJ2UdpFZpbTkDduKQLn1e-BBFS3n1xq0sSd8edbBPI4yojoMfTwbHs8JOIaOMP8Ks_c8MaArncTBlP-Pi4-3Ck5cYY54rnnTJiAKfCabF-SIA~~
数据分析师,北京/海淀区/双榆树,12-20K·18薪,在校/应届,本科,SQL/Python/Excel/Hive/描述统计/相关分析,童先生/数据分析,今日头条,移动互联网/未融资/10000人以上,五险一金/补充医疗保险/加班补助/交通补助/股票期权/通讯补贴/免费班车/住房补贴/包吃/零食下午茶/带薪年假/员工旅游/全勤奖/年终奖/节日福利/定期体检,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.71&securityId=poA4mcLfSuyqt-q1zYWko6w0Yg_aaKHTwgEoVjdbeG8juHJfNAWqXTpgMq33cvBouMtCQgZU9wlTSv2fy6M0cRhEUOXxM6h-TsGp0Q8-bwOlBDXl2t5ednQrNnd7gGKahECO0n74
数据分析工程师,北京/昌平区/西三旗,13-17K,在校/应届,硕士,Python/SPSS/Excel/Spark/Hadoop,颜玄/HR,易达未来,计算机软件/未融资/100-499人,五险一金/全勤奖/年终奖/绩效,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.72&securityId=o7sOf2lqn7uwI-41PJtKMjMj2lFNkGvzjegBQy1PeqFdxTpZz6FrFX9lUarVisj06tBFmuQSM-NuTQ5Y3RDS6fZuQOXuc10u4K2RIN4FDKhhJMuCNGTiONL_M1pPYS4etJ_VcaKBLeZJ
数据分析师（2022/2023留学生招聘）,北京/海淀区/西北旺,18-35K·15薪,在校/应届,本科,python/数据分析,朱先生/招聘HR,华为,计算机软件/不需要融资/10000人以上,五险一金/补充医疗保险/零食下午茶/加班补助/节日福利/定期体检/员工旅游/餐补/股票期权/年终奖,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.73&securityId=FbU2kKUWSMjt9-Y1D4Z8YUvZ4Wr-evMT7l3Uhqxz4n6lyq4_-Yajbv-EHJtWq9y2aXmHUePF55iOcupxcpYhJgREgyq-ZQUfJEiBxHosWqmnQSn0XzI5a5cVzpV3vDQy0LtB15k~
数据分析工程师,北京/海淀区/清河,11-22K·13薪,在校/应届,本科,Python/SQL/Spark,赵思妍/高级招聘经理,锐安科技,互联网/未融资/1000-9999人,通讯补贴/零食下午茶/交通补助/节日福利/带薪年假/加班补助/餐补/股票期权/员工旅游/年终奖,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.74&securityId=Fz7JcWi6jO7Qy-U1BolPafCarUOejUNCDwmUkUY9ckBtzajZt0YbmqR1y_5wAMieuwnf0eQUsT5DYBuqBZ9jJqYAhqV86lP0qB-qcLxwrxp9FcQueE_o9T0AZfDufD-skA~~
数据分析,北京/朝阳区/三元桥,100-150元/天,,本科,Excel,高民芳/联合创始人,盒子鱼英语,在线教育/未融资/20-99人,五险一金,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.75&securityId=zzDlSYqDPmdBh-r1ph2Z9F50JKKpp6Gv6RScoEtuJUNcGFMhoqW3CY3z8BYyLm9v6mgby7aOlEowLtEZ4Am1eP5L13YwcxF1U6A_JGb64Bg5H2mhkeXKRY0ehddlCrR7mZasocEj
数据分析,北京//,23-24K,经验不限,学历不限,金融,季女士/猎头顾问,某大型金融集团公司,计算机软件/未融资/1000-9999人,补充医疗保险/交通补助/员工旅游/企业年金/加班补助/包吃/带薪年假/定期体检/节日福利/五险一金/通讯补贴/住房补贴/生日券,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.76&securityId=uGDYenfGhygAH-E1XRKa9woZn6hb9pSOkK3efBLk_ponO1aYPEVA9EtVjB_DyT2xTCl3_xAOSLWu5vhecPghanyJz5O95pc6-9IificSPNRQU0_TZfk-5pzeuZEqny54VKPBSfl0tYE~
数据分析,北京/朝阳区/望京,140-200元/天,,本科,Excel/SQL,焦女士/经理,墨迹天气,移动互联网/不需要融资/100-499人,补充医疗保险/节日福利/定期体检/加班补助/零食下午茶/带薪年假/年终奖/五险一金/员工旅游/餐补,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.77&securityId=Bj2FY0RC9rWcJ-Q1UWqyBlF5HUZNemo_508cwpodRU0HZxOBqmoWCZt7itdfY7waWNY9Zb14TEbsc-rV-kKrs0Gpiq3gLnMZ-SbsJDYXhOi4lAGrP4fQHVL2MZiff_MKzWLr6lu9
数据分析,北京/大兴区/亦庄,150-200元/天,,本科,Python/SPSS/Excel,朱逸辉/产品运营经理,去哪儿网,互联网/不需要融资/1000-9999人,定期体检/带薪年假/交通补助/五险一金/年终奖/员工旅游/节日福利,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.78&securityId=rj0hFvwEz0_6f-Y1DAOX6F2QM2kI8qyA3iTm0AjC41wiMnac7-kn8aeVufWG04n0FR-N3gB2LyjsdKcuw2gCh39D9fct9NDkNDQh7WBPc2Pt_kje4fqYlEtE4-1-Vm7TUVPr1-NU0Lw~
数据分析,北京/朝阳区/国贸,80-120元/天,,本科,Excel/PPT,王女士/人事,CSM,数据服务/不需要融资/1000-9999人,零食下午茶/餐补/带薪年假/节日福利/五险一金/加班补助/补充医疗保险/定期体检,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.79&securityId=1sPffYP7o110H-r1fvxlzni_J_V11bAttMum-_Dx46CUtAXARa9bXYFQ-B4FsPZSzLXoNyLVq7XYfoFSd0lLRKhlKqOdTJDpKOTtWcKo7IDzxVKRTUVLIMZ3hHJdr3LiADVc581xO34~
数据分析岗(J10684),北京/大兴区/亦庄,6-8K·15薪,在校/应届,本科,数据分析/商业分析经验,郑宇辰/HR,北汽新能源,汽车生产/已上市/1000-9999人,年终奖/补充医疗保险/定期体检/免费班车/员工旅游/五险一金/带薪年假/餐补/通讯补贴/交通补助/节日福利/零食下午茶,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.80&securityId=jYdTtzEYotkJ7-v1zqHKICaf-pf5T5hRfagyuoZRhSlMazrQYpH-m7cL7RShKcGo0GYzHSR_b__4QOUdEUtXCaw1H0bLLKKID9104ZAKJEkJJM-7CFyjZO9SC1XsBqYItsjbiXS0HA~~
数据分析——应届生,北京/朝阳区/国贸,8-10K,经验不限,学历不限,Tableau/SQL/Python,李莉/HR,仲量联行,咨询/已上市/10000人以上,零食下午茶/五险一金/定期体检/带薪年假/年终奖/节日福利/通讯补贴/补充医疗保险,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.81&securityId=3q6N1F76MG6Hh-U13azw5q4MfBxk9S-12WcmT2eSzR81FJP9DTNmh313W-o7KEG92aN57jQG5ufwEYnw1NdEvBQzh6wz_Csy7fojHvd2t1mvBzYKPBe3u_X8eh05HaYZpATjV7-1TckM
数据分析与挖掘工程师,北京//,12-15K·16薪,在校/应届,硕士,Python/Java/SQL/深度学习算法/机器学习算法/Hbase,吴波/hr,轩宇空间,信息安全/不需要融资/100-499人,五险一金/定期体检/年终奖/补充医疗保险,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.82&securityId=dZIOh8KAzTTZ--k1GmrRWaOq75a_7LMLYBPvC76SIasCuXUijG3joLMHua5CuevX9Fo-ncfvCT1EgfZqe-kITW1E_YsLglCCGdCi58urakTe6eCtNaEUfaw1x9klQLALVHe52XU~
数据分析师,北京/朝阳区/酒仙桥,200-310元/天,,本科,Pandas/Matlab/NumPy/Matplotlib/多元统计分析/信度分析/参数检验/因子分析,王先生/数据挖掘专家,奇虎360,互联网/已上市/1000-9999人,五险一金/补充医疗保险/年终奖/零食下午茶/节日福利/带薪年假/股票期权/餐补/包吃/定期体检/免费班车/交通补助,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.83&securityId=1Oh67IuMXzXm_-h1m5egCUk7BVH_NIlM_EkKQAkNmaXKC8GaAGhlqVywyhutStegXwzjotecpDYNMkEPr1H6BpABcahQ7Mr6Iin123rPcRTXP_gocCis0_3T6OHZwi58T5IStg~~
数据分析师,北京/大兴区/亦庄,15-20K,在校/应届,硕士,SQL/Python/Java/Excel/R/SPSS,王衡/招聘者,京东集团,电子商务/已上市/10000人以上,节日福利/员工旅游/定期体检/餐补/股票期权/补充医疗保险/带薪年假/免费班车/交通补助/年终奖/零食下午茶/五险一金/包吃,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.84&securityId=F6U3m9SddCkIP-K1gMPI9s6JzC-9oyxHLN_1IZ4xnroLMjrCxoF6chxhcek-nWkm1TdW4xu6aA_5IYtCeJXhnKQq0Bf8irDO1aDWdAxxPP7PlFPPI97k-vCxJtgyElMun44hIhgN3w~~
数据分析师,北京/海淀区/上地,250-350元/天,,本科,Excel/Python/业务分析/SQL,李婷婷/数据分析师,快手,社交网络/已上市/10000人以上,补充医疗保险/股票期权/带薪年假/定期体检/节日福利/五险一金/年终奖,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.85&securityId=Ju_zoR423U6Ew-C1hdla2yCNENKQHMc_MogOym7QlzvVfa303VGK9JaGMaWZLEX1Qjv-2rxYeAQcTw11dzcWKHzLiqtsyya04ZdhkAmggHazlnZ8-PdxIn3LVO_kcjOiVaHbPK4~
数据分析师,北京/海淀区/回龙观,290-300元/天,,本科,SQL/Excel/Python,王婷婷/数据科学与智能部,滴滴,移动互联网/D轮及以上/1000-9999人,定期体检/五险一金/补充医疗保险,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.86&securityId=rDlp6ALnU4M5b-J1_shXqxZICDDbcHQAVmnAPSTuunJseImizGxwlmCbvIaupJv4d_5sT4BGfRfrY-vWIGXQFLAEeHTHUWjy5H_xfrG7jVvNmHcWbQFfK4BDS2-KmqJ8Ay6-SaOpmfQ~
数据分析师,北京/海淀区/上地,240-300元/天,,本科,SQL/Excel/描述统计/Python,卓越/数据分析师,滴滴出行,移动互联网/D轮及以上/1000-9999人,定期体检/补充医疗保险/年终奖/股票期权/免费班车/节日福利/五险一金/带薪年假/交通补助/零食下午茶,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.87&securityId=UtEGOHMqi07pR-c1fs9eTWl6mXWS-LqSXm1-tKsH_VjqmdAxM2uy8KcmWggJCXrXs8G6HKGIPOvoZwjzOSY4Tf3Y0ghi4Z9l6PbBsY0WvSBGc1lrnmbo3_zER7MQSmxLJs-O-tWU3Q~~
资深数据分析,北京//,30-50K,经验不限,学历不限,Python/SQL/决策树/SAS,郭先生/猎头顾问,某500强上市公司,信息安全/已上市/1000-9999人,节日福利/通讯补贴/定期体检/员工旅游/补充医疗保险/年终奖/带薪年假/餐补/五险一金/全勤奖/交通补助/加班补助,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.88&securityId=YQcHk1vu3weYp-q1CFCrWfktf0edOdVzVdVcSQHAuPs224wHeDTwuCkbmcaNEnfLxEnqAcHQ24rK45tCGL_u7xR69mzo8DTVsgNbU2-LchPy_p_08KDcpJ9_agPBJoD6AOs0HDDCy6g~
数据分析（实习）,北京/海淀区/中关村,180-200元/天,,本科,SQL/Excel,姜芳/数据分析,途家网,互联网/D轮及以上/500-999人,员工旅游/定期体检/五险一金/节日福利/带薪年假/餐补/股票期权/补充医疗保险,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.89&securityId=oaMU_iDo-lWUN-H15wSnXPsMVtxEAc5oOi4HHWSmdH3uxzWGoBdWgYAJfZkVuKab-r3CIBeO-RDuTThZcJvkkj0s-BdG7SbjZxSAsvZu3HwZx4XDFIk4wKVHljokqJ_MnCLIFvU~
数据分析师,北京/朝阳区/太阳宫,150-200元/天,,本科,SQL/Python/Tableau,王小禾/数据分析师,BOSS直聘,人力资源服务/已上市/1000-9999人,带薪年假/五险一金/定期体检/餐补/员工旅游/节日福利/补充医疗保险/年终奖/交通补助/加班补助/股票期权/住房补贴,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.90&securityId=LdAh5fF6R9e0O-i1Csl8UQ4CbdV6PfDfv8vJYKALYySC7wQU2WPu8PYL4AGEDeM-kh2Csa8GMo306V7N8-W2Z3M5rSdQn7Vx4K5shYzJijgVSY_-Vuj9c6SOJ73XEjGOFzrTCw~~
董事会管培生（数据分析方向）,北京/海淀区/西北旺,8-12K,在校/应届,本科,Java/Python/SQL/相关分析/Excel,李良珺/HR,北京千喜鹤,生活服务/未融资/10000人以上,五险一金/年终奖/加班补助/员工旅游/通讯补贴/住房补贴/节日福利/带薪年假/包吃/交通补助/餐补,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.91&securityId=WJz4yEeHlD4fj-r1aI864IfBiEG72kc_RQE5zjKriyqOaxyCUPo4er-hJuQFLRLNFZYj1t7OKIGkQpAYKc1p2DL0GbzpvF1-tfEYBtdnBvx8LlNGReCccllBPzp8fFZN6AT8TMP6
数据分析师,北京/大兴区/亦庄,200-250元/天,,本科,SQL/BI/相关分析,杨女士/数据分析师,京东世纪贸易有限公司,互联网/已上市/10000人以上,补充医疗保险/年终奖/餐补/定期体检/五险一金/全勤奖,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.92&securityId=E66n7C2z2cEXK-B1UYbYPzuMyf1CtvRUr4MuBUupGSG_nHKsXALXF9oY2LLtUgXvc8xDDeJjbrEo04grTtQeLP4F_gqXHbV05s3ryUKbJ4lWIdC4MZlIpM6KLEyRYBcK0r7agysT9w~~
数据分析（实习）,北京/朝阳区/左家庄,100-110元/天,,本科,Python/SQL/Excel/Tableau/R,王先生/资深商业策略分析师,微博,互联网/已上市/1000-9999人,免费班车/年终奖/节日福利/定期体检/补充医疗保险/餐补/五险一金/带薪年假,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.93&securityId=FAE7PPEJmixwy-p1LUYq_LL5hj0FoeKTvUKn93TDyjDV0Tc4y32UscYi9fyw7fbclAMynTQEQt0zGAkqyRkVqEbqnaJgNqYLKRlWBhAocwqlf8_XDngWRjby2cBugf23q6UNlWYv
数据分析师,北京/大兴区/亦庄,100-200元/天,,本科,Python/SQL,刘先生/招聘者,京东科技集团,互联网/不需要融资/1000-9999人,餐补/补充医疗保险/五险一金/免费班车,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.94&securityId=sxN7Ip3x3LCYi-k10Yil-6q_Qt2iFwJgIj6LO0HQ6BpVZN83HDw--K6tiR5vDdqyV_GKPIKJmZEWZgTUE696ooCEQg9DN4og0rcoAEgsNo8qGuexyDaIwVsAOC9_hMc7R9bX-BfVeDg7
数据分析工程师,北京//,200-300元/天,,本科,Python/机器学习经验/自然语言处理经验/数据分析/数据挖掘/Python,黄乐/联合创始人 | 技术总监,掌数,信息安全/未融资/0-20人,五险一金/年终奖/零食下午茶/带薪年假/通讯补贴/股票期权/住房补贴/培训补贴,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.95&securityId=iy4Zn3SQvpyxF-u1eRki3FW2JG3rpTh1FFFHKCjMcLGdCwOsjSIf5Kb0XbYcNfpjkHbvvLbmk3pFla2ZfXrXwIHzXmOP8DWd2QFpfxGrzNIcV5e4jfs2LNS6RG-k8F02cHisj89NiXI~
数据分析-实习生,北京/朝阳区/望京,200-250元/天,,硕士,Python/R/数据分析/挖掘经验/数学/统计相关专业,张立荣/体验研究总监,谷雨互动智能,企业服务/天使轮/0-20人,全勤奖/股票期权/五险一金,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.96&securityId=QmntSPgpJCcfe-L1ZcVkxEuMCd7IovOuebzsw2zRdFuv0B5S9_gX71c8kHtn_xSZH4Z7UrflhLh7wTBieXvOJsr1AmD1K_U3h6DS1Fia0FtqwC_luKTjDYuPcReHAuGaFNjGOChpy3KR
数据分析实习生,北京/大兴区/亦庄,200-250元/天,,硕士,Java/Python/SPSS/Tableau/R/Matlab,包女士/招聘经理,BOE,计算机软件/已上市/10000人以上,加班补助/节日福利/全勤奖/年终奖/带薪年假/五险一金/餐补/包吃,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.97&securityId=mSoeiyAZBYYaG-61gx4Bit4wr6Tjni-2p_Ly9msMPkE-7zA0H8znP3fFlaN3zzY2Y2csKgMXjgBqAtMBHOzlAX2njfDsRuK-Chh_rBA07g4pSn6TqBFyW-tlO-cA6UvYt0VgGkVreg~~
数据分析实习生,北京/朝阳区/来广营,200-250元/天,,硕士,Python/SAS/Matlab,朱女士/招聘,一零跃动,互联网/不需要融资/1000-9999人,补充医疗保险/年终奖/定期体检/员工旅游/带薪年假/零食下午茶/餐补/节日福利/五险一金,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.98&securityId=WaKIRZLOhpUgg-X1Ytj27ENxj39BxWiTUAvlKz6gX6oZJ4YN5HE4H2Fcn0ShJHw-KvoE6bU5krm-wEYeK_4aGAFm77Fep2_SoZSpcslOdNf6EagO0-GpXrILVp53C3AilI0aI8JXy4k~
数据分析实习生,北京/海淀区/西北旺,220-260元/天,,本科,Python/SQL/Excel,刘凤霞/数据分析,网易云音乐,音乐/视频/阅读/B轮/500-999人,五险一金/定期体检/包吃/员工旅游/免费班车/节日福利,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.99&securityId=aWjG3SfHaYPN8-M1K2WJua050Heol3-4BMPYfVKlTcY5TUCMoPqbQEzHOU-VQZhucvtNYjw_9Gdnmk45XTNeuSigEo557wPYeofrcqUK_KLkBh2wWy8KAIMqSiFA4yIWkh_ddmOJfg~~
数据分析实习生,北京/朝阳区/大望路,100-120元/天,,本科,数据处理,朱大培/招聘者,中金云金融,互联网金融/A轮/20-99人,带薪年假/补充医疗保险/员工旅游/五险一金/年终奖,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.100&securityId=KCMRwqtbIRPUA-k1XYdxjEq82in6peSHy6BJJYc_nm2Uw4fwOP4C_S1wsGuFdp4_UYB0cm5-5sMArsqV1ZH2k5jpb-MS663dIN6wAOy0Ur2KhKRElX7M5JoutD-EczjSC3rn
数据分析工程师,北京/海淀区/马连洼,240-250元/天,,硕士,SQL/Python/数学/统计相关专业/数据分析/挖掘经验/机器学习建模经验/数据科学/机器学习/统计学,黄彦博/高级数据分析工程师,百度,互联网/已上市/10000人以上,交通补助/节日福利/餐补/加班补助/零食下午茶/娱乐健身/住房补贴/带薪年假/定期体检/通讯补贴/免费班车/补充医疗保险/年终奖/五险一金/员工旅游,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.101&securityId=nfEZDgrQ8BQLH-H1kfFnTkT2F9Zcyj2NwYchNSqZXLpmONko2O-vKp7AYovtyeAUWE_UNoaA5WNBqwrX61ieqFM2AKq0atgbNelSFJb9d0gy-LNnzVc1z5p74nLYuO4G03Pr
