工作名称,地址,薪资,经验要求,学历要求,技能要求,联系人,公司名,公司相关信息,公司福利,详情页url
数据分析师,北京/朝阳区/酒仙桥,100-150元/天,,本科,Python/R/大数据/机器人/自然语言处理,武昊昀/数据科学主管,默克,制药//10000人以上,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.36&securityId=3JAvBlpbrpT0v-k1XIUlonTWm_jRbZAWMn8VZqzq9SNy_oBFDMesVwI-xa9ljo8CPrybCw6AygW0p9dZOTnSkUQwzpBeUCsFX4eBq0tOo1UA9rwuiR4EpVHEOzy9rqhOrxAeqFSMlmnb2Q~~
数据分析师,北京/朝阳区/朝外,120-150元/天,,本科,数据分析/英文/需求分析,黄先生/招聘者,笑动科技,移动互联网/不需要融资/20-99人,团建聚餐/全勤奖/员工旅游/保底工资/带薪年假/绩效奖金/零食下午茶/年终奖/五险一金/出国出差,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.37&securityId=2deZq5TNvaBFs-q1rYEr7du-x_gX_fEOobPjoPwyQQ_rbZRvNrnfPBaQ1EG5r5xyP2qEGifjCe7PHNLzJuBlq4SVVs304zXdiPtMO0cQRQm2WgMP7jhKjflmu3AOE9noGk8pdDCN2g~~
数据分析师,北京/海淀区/牡丹园,160-220元/天,,本科,SQL/医疗/临床试验,艾先生/数字质控总监,医渡云,互联网/已上市/1000-9999人,年终奖/餐补/补充商业保险/五险一金/定期团建/带薪年假/股票期权/节日福利/定期体检,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.38&securityId=xtDtNzWn4njoh-E1CwiZego3BJtUPXrCDgN3Cz3U3QJa1JOtbjYPn01H75TjihXdogNk3BxHVvCF27y8YrbCugZyjzYKbP2yWNLB6hQoDxavtgDkcBaeDJ7kXMGZlqfCR4qXlQ~~
数据分析师,北京/海淀区/马连洼,150-250元/天,,本科,SQL/描述统计/Excel,韩岳宏/策略运营,北京百度网讯有限公司,互联网/已上市/10000人以上,五险一金/工作氛围好/补充医疗保险/定期体检/包吃/团队nice/通讯补贴/免费班车/餐补/节日福利/交通补助/零食下午茶/带薪年假/股票期权/员工旅游/年终奖/不打卡,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.39&securityId=qwYcDe4c17fjn-v1memvHtLfKAu5DwvKlqB5hYgXYETYyYMn2M-nZECBtEztCIMcnr4ZaSa3_0MtrdRUJB0Dzq9Ip4c5ZyMnXwOQO4WVOa759-YUv-Nz8WdSZaTJg4ExhdaJri0rFw~~
数据分析师,北京/朝阳区/三里屯,15-25K·13薪,经验不限,学历不限,SQL/Excel/Hadoop/方差分析,OPPELWOLFGANGTORSTEN/经理,德国电信咨询,咨询/不需要融资/100-499人,定期体检/补充医疗保险/节日福利/五险一金/带薪年假/通讯补贴/员工旅游,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.40&securityId=Poo2RfICnd2ra-N1MKup6n1X2OrKKkE-JZ-RsfkZW0ZgKOIFEpTmIXpECRGe0kX0OzjnqPQjhGeassC8FbD6NU5WMgLdhVvUil2McFY-JMUihjJ56lSzXF79aZJw49L8NgQDRHCYzE_B
数据分析师,北京/海淀区/上地,150-200元/天,,本科,回归分析/方差分析,于璐/技术,蓝风科技,计算机软件//0-20人,五险一金/年终奖/股票期权/加班补助,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.41&securityId=CgBOfyhHUXRSo-r16C1uRZ9oGd-G4J96YLH27TPl_8dYlEyYkkYnyzsYZHWz_ruuUe2LGfCcVrzXUzWJnU1eEctZwPsQJJwQhcm49_VX-p9UpnUxOdzGP6bh_q2vdACiA6EsjOk8WuQu
数据分析师,北京/朝阳区/望京,200-300元/天,,本科,Python/SQL/R/Pandas,王婧/算法工程师,一起教育科技,互联网/已上市/10000人以上,带薪年假/餐补/带薪病假/员工旅游/定期体检/五险一金/零食下午茶/补充医疗保险/节日福利/公司福利年假/年终奖/股票期权/通讯补贴,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.42&securityId=pcxQYCsTcjwAi-j1PFVyQHWlB0dM9UQJYg7wyfDH4wnYB6SjdGZXIyXy8qohUyxao80jM5ev4KN70N3Kjp6mXCWL4qIlfNojHuvpCQKqu9R6AFkO_C7Dw3C2dQLbxDvoy5ZdPfzO
Data analyst-数据分析师,北京/东城区/东单,8-10K,在校/应届,本科,数据分析/数据挖掘/数据库,Daisy/HR,安永华明会计师事务所,企业服务/不需要融资/10000人以上,五险一金/员工旅游/定期体检/年终奖/补充医疗保险/带薪年假/节日福利/零食下午茶,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.43&securityId=Eywc1x-eBQIvu-71KNqQggfmnrBnuLG2zyVVdjV7SGWMmy9doVNb5RCA0eS5eZaU5lveKlQSMBlLjq1yHErQgHHQUT43TXdrZdH_ybcPKMlVrHvY7ko9Gtu51H7rSfJMX8DYBPDwsg~~
数据分析师,北京/海淀区/上地,16-25K,经验不限,学历不限,回归分析,王雪/招聘专员,敏悦,企业服务//0-20人,五险一金,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.44&securityId=L8-HO4Arcdm9Y-a1fwkiu37b6UIEaTOnTt0H10czVVVGkg-c3jhrV8nt1bIFOlTmmnSwKZvQua2hxUxK1R8pfa9mtco97UOfEHXrZgbYyW4lYPsSF-YKHqg8GKKVRpdr-Kp7yyio21stKjsIGmJda6BF0J4_MwCUpKZZkJU7nkTGmicQ
数据分析师,北京/朝阳区/双井,18-35K,经验不限,学历不限,数据采集/行业分析,周建平/人事,神雕,移动互联网//20-99人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.45&securityId=IbQ0Lfm6SJyYO-k1zVEajViRaFLVH60b0tDx72wG55VwU2NBL4X5RYFMFzIZQo6y6RZBFtkJjeLwAFSbv-PIse1Kxlk2jUqDJ_6rbsCdIJJnMkt7aMmug9ihKxwTW-jF2yBhB0X9_A~~
