模仿游戏,2014,8.8,593402
喜宴,1993,9.0,324839
七武士,1954,9.3,180493
花样年华,2000,8.7,549027
黑客帝国3：矩阵革命,2003,8.8,415994
头脑特工队,2015,8.8,559019
电锯惊魂,2004,8.7,487581
三块广告牌,2017,8.7,765661
达拉斯买家俱乐部,2013,8.8,421228
九品芝麻官,1994,8.7,603350
卢旺达饭店,2004,8.9,302116
你的名字。,2016,8.5,1283386
疯狂原始人,2013,8.7,783913
上帝之城,2002,9.0,281986
谍影重重3,2007,8.8,389958
惊魂记,1960,9.0,257079
心迷宫,2014,8.7,474090
风之谷,1984,8.9,333871
英雄本色,1986,8.6,491683
纵横四海,1991,8.8,388030
海街日记,2015,8.8,409015
岁月神偷,2010,8.7,545881
记忆碎片,2000,8.7,562167
忠犬八公物语,1987,9.2,178384
爱在午夜降临前,2013,8.9,357062
荒蛮故事,2014,8.8,408502
色，戒,2007,8.6,696473
绿里奇迹,1999,8.9,295729
爆裂鼓手,2014,8.7,535754
小偷家族,2018,8.7,763267
贫民窟的百万富翁,2008,8.6,700368
无敌破坏王,2012,8.7,495025
茶馆,1982(中国大陆),9.5,109398
东邪西毒,1994,8.6,538541
真爱至上,2003,8.6,678676
疯狂的石头,2006,8.5,753484
冰川时代,2002,8.6,570357
雨中曲,1952,9.1,200616
你看起来好像很好吃,2010,8.9,309920
恐怖游轮,2009,8.5,777616
黑天鹅,2010,8.6,741207
2001太空漫游,1968,8.9,287846
魔女宅急便,1989,8.7,422985
雨人,1988,8.7,377340
恋恋笔记本,2004,8.6,619419
遗愿清单,2007,8.7,406501
无间道2,2003,8.7,423950
牯岭街少年杀人事件,1991,8.9,263002
大佛普拉斯,2017,8.7,407597
可可西里,2004,8.9,278712
城市之光,1931,9.3,131496
背靠背，脸对脸,1994,9.5,108010
小丑,2019,8.7,929843
萤火虫之墓,1988,8.7,383742
源代码,2011,8.5,779047
东京教父,2003,9.0,193802
虎口脱险,1966,8.9,233111
初恋这件小事,2010,8.5,928175
人工智能,2001,8.7,410738
海边的曼彻斯特,2016,8.6,468367
罗生门,1950,8.8,288946
终结者2：审判日,1991,8.8,316483
青蛇,1993,8.6,483197
波西米亚狂想曲,2018,8.6,553165
二十二,2015,8.7,276185
奇迹男孩,2017,8.6,519148
疯狂的麦克斯4：狂暴之路,2015,8.6,486432
新龙门客栈,1992,8.7,408549
房间,2015,8.8,349851
心灵奇旅,2020,8.7,880088
无耻混蛋,2009,8.6,438097
千钧一发,1997,8.8,265025
血钻,2006,8.7,349796
魂断蓝桥,1940,8.8,256896
步履不停,2008,8.8,256496
黑客帝国2：重装上阵,2003,8.7,376749
彗星来的那一夜,2013,8.5,517600
