页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数
5,4797322904473627,南充之声,2022-07-31 15:59:33,【假的！这些关于成都疫情的谣言别信！】连日来，成都新冠肺炎疫情牵动着千家万户的心。疫情当前，流言蔓延，谣言猖獗，四川互联网联合辟谣平台提醒广大市民朋友，以下关于成都疫情的谣言千万别信！ ,https://m.weibo.cn/detail/4797322904473627,0,0,1
5,4797266425284094,成都青白江,2022-07-31 12:15:07,【假的！这些关于成都疫情的谣言别信！】连日来，成都新冠肺炎疫情牵动着千家万户的心。疫情当前，流言蔓延，谣言猖獗，四川互联网联合辟谣平台提醒广大市民朋友，以下关于成都疫情的谣言千万别信！详戳↓↓#关注新冠肺炎疫情# （封面新闻） ,https://m.weibo.cn/detail/4797266425284094,10,2,2
5,4797262083919530,成都生态环境,2022-07-31 11:57:52,【假的！这些关于成都疫情的谣言别信！】连日来，成都新冠肺炎疫情牵动着千家万户的心。疫情当前，流言蔓延，谣言猖獗，四川互联网联合辟谣平台提醒广大市民朋友，以下关于成都疫情的谣言千万别信！详戳↓↓流言粉碎机｜这些关于成都疫情的谣言别信！ ,https://m.weibo.cn/detail/4797262083919530,0,2,0
5,4796669642410883,Blackwaterrr__,2022-07-29 20:43:43,苏州城市学院学生作品《网络事故—小绿的谎言》简介：在疫情严重都那段时间，有些人利用人们的恐慌心理在网络上散布谣言，小绿就是其中之一。在假期，小绿看到了网上有关新冠疫情的信息，为了赚取网络热度和流量，她夸大事实、修改照片发布到网络上，引发了网民恐慌，造成了不小的影响，最后通过警察 ...全文,https://m.weibo.cn/detail/4796669642410883,0,0,0
5,4796662440267202,四川残联,2022-07-29 20:15:06,#关注新冠肺炎#  【涉疫谣言法不容！】编造涉疫的不实信息、篡改并散播核酸结果……疫情防控以来，涉疫谣言时有发生。编造、故意传播涉疫谣言，要承担哪些法律责任呢？普法课堂来了↓↓ 中国普法的微博视频 ,https://m.weibo.cn/detail/4796662440267202,0,1,0
5,4795549460726011,山海视频,2022-07-26 18:32:30,【辟谣！#网传成华区全区静态管理是谣言#】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。#成都疫情防控# @看成都 看成都的微博视频 ,https://m.weibo.cn/detail/4795549460726011,6,55,401
5,4795534579080108,成都发布,2022-07-26 17:33:23,【辟谣！网传“成华区全区静态管理”系谣言】#小布播报# 7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街 ...全文,https://m.weibo.cn/detail/4795534579080108,36,148,244
6,4796321821626908,张靖平,2022-07-28 21:41:36,《高福被查谣言风传：中国疾控中心主任深陷争议》“高福被查”——2月15日11点多，从1月下旬始、已在新冠肺炎疫情不断扩大中煎熬多日的社交网络突然出现这样一则消息。高福是现任中国疾控中心（CDC）主任，发布ID“贵州综合广播”、“黑龙江卫视”、”河南反邪教“等皆为蓝V认证官方账 ...全文,https://m.weibo.cn/detail/4796321821626908,0,0,0
6,4796268439670366,积石山公安,2022-07-28 18:09:29,『临夏州关于依法依规严厉打击新冠肺炎疫情网络谣言、虚假信息传播和侵害个人信息的通告』临夏州关于依法依规严厉打击新冠肺炎疫情网络谣言、虚假信息传播和侵害个人信息的通告 ,https://m.weibo.cn/detail/4796268439670366,0,0,0
6,4796244461355431,典雅东瓜,2022-07-28 16:34:11,镜头贩卖商——余心妍现居美国华盛顿的汉奸记者余心妍长期炮制《对抗芬太尼：中国产类鸦片加深美国健康危机》、《我的父母怎么了维吾尔姐妹寻求答案》等不实报道攻击中国，使用境外个人社交账号频繁发布各类涉及新冠疫情、新疆问题等谣言抹黑中国。一个驾轻就熟地炮制各种谎言的记者。西方势力国家行 ...全文,https://m.weibo.cn/detail/4796244461355431,0,0,0
6,4796231538706682,东阳市互联网举报中心,2022-07-28 15:42:51,#微博辟谣东阳在行动# 一则内容为“遂昌明日封城”，另一则内容为“西街十弄检测出大量阳性”。现查明，两条视频所述内容不实，均为谣言。目前，遂昌县公安机关已对上述传谣造谣行为介入调查。请广大市民不造谣、不信谣、不传谣。后续有关新冠疫情信息均会在官方权威平台发布。 ,https://m.weibo.cn/detail/4796231538706682,0,0,0
6,4796215696559780,遂川政法,2022-07-28 14:39:54,【假的！高新区有几个新冠阳性，谣言！】7月26日，高新网警在工作中发现，一网民在微博发贴称“高新区珍展鞋业那边有几个新冠阳性，大家不要去那儿。”网安民警立即展开核查工作。经查，网民徐某因看到抚州有关疫情信息，又听到朋友对疫情的讨论，未经核实就在微博发表不当言论。在民警的批评教育下， ...全文,https://m.weibo.cn/detail/4796215696559780,13,10,15
6,4796124630094572,网信让胡路,2022-07-28 08:38:02,江西抚州高新区有几个新冠阳性？谣言！据@抚州网警巡查执法 消息，近日，江西抚州高新网警在工作中发现，一网民在微博发贴称“高新区珍展鞋业那边有几个新冠阳性，大家不要去那儿。”网安民警立即展开核查工作。经查，网民徐某因看到抚州有关疫情信息，又听到朋友对疫情的讨论，未经核实就在微博发表 ...全文,https://m.weibo.cn/detail/4796124630094572,0,0,1
6,4795600808447267,成都消防,2022-07-26 21:56:33,【辟谣！#网传成华区全区静态管理是谣言#】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街道李家沱、八 ...全文,https://m.weibo.cn/detail/4795600808447267,4,14,16
6,4795883058626564,江西网警巡查执法,2022-07-27 16:38:06,【假的！江西高新区有几个新冠阳性，谣言！】7月26日，高新网警在工作中发现，一网民在微博发贴称“高新区珍展鞋业那边有几个新冠阳性，大家不要去那儿。”网安民警立即展开核查工作。经查，网民徐某因看到抚州有关疫情信息，又听到朋友对疫情的讨论，未经核实就在微博发表不当言论。在民警的批评教育 ...全文,https://m.weibo.cn/detail/4795883058626564,0,1,1
6,4795871974130158,成都工会,2022-07-27 15:54:03,#网络辟谣# 【辟谣！#网传成华区全区静态管理是谣言#】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街道 ...全文,https://m.weibo.cn/detail/4795871974130158,0,1,0
6,4795851673960997,突泉风韵,2022-07-27 14:33:23,新冠病毒是美国造的、酵素能杀病毒、猫狗传病毒要扑杀……在疫情中，谣言跟病毒一样流传。有的是不懂科学胡说八道，有的被辟谣了，有的辟谣之后又反转了……怎么才能彻底打败谣言呢？这是视知TV关于疫情中各种问题的第一期特别视频。 网页链接 ,https://m.weibo.cn/detail/4795851673960997,0,0,0
7,4795600808447267,成都消防,2022-07-26 21:56:33,【辟谣！#网传成华区全区静态管理是谣言#】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街道李家沱、八 ...全文,https://m.weibo.cn/detail/4795600808447267,4,14,16
