页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数
17,4801381208953579,紫牛新闻,2022-08-11 20:45:48,#紫牛新闻#【场地简陋没有明星，贵州“村BA”篮球赛为啥火出圈？】近日，在贵州省黔东南州台江县的台盘村，一场场超燃的篮球赛火爆全网。外交部发言人赵立坚为其点赞，人民日报、央视现场直播，在线观看人数千万人。现场看台上人山人海的火爆气氛引得网友纷纷直呼：氛围比CBA还要热烈，名副其实的“村B ...全文,https://m.weibo.cn/detail/4801381208953579,4,1,7
17,4801306013208140,咪咕篮球,2022-08-11 15:47:00,历史悠久！【#村BA已有70多年历史#】根据村里老人回忆，贵州省台江县台盘村篮球赛已经传承了三代人，有七八十年的历史，这个普通村落有6位手持篮球裁判证的村民。为了办好比赛，成立村篮球协会，分工明确专人负责。#村ba比赛现场有多燃# #看篮球上咪咕# CBA最前沿的微博视频 ,https://m.weibo.cn/detail/4801306013208140,0,2,14
17,4801355439669410,侯向锋,2022-08-11 19:03:23,W村BA直播开始7-o【侯向:/ 锋的直播间】  点击打开👉网页链接  或长按复制此条消息，打开抖音，看TA直播 ,https://m.weibo.cn/detail/4801355439669410,1,0,0
17,4801351936902159,一千魏晋,2022-08-11 18:49:29,#马布里想现场感受村BA#教员说过：一定要走群众路线，不能走精英路线，走精英路线一定会失败。 ,https://m.weibo.cn/detail/4801351936902159,0,0,2
17,4801351609227895,咪咕体育,2022-08-11 18:48:11,#小咪体育晚报#【08时-18时要闻回顾】1.#上海海港官宣武磊回归# 网页链接2.#马龙里约奥运男单夺金6周年# 网页链接3.中国男排3比0巴基斯坦男排 网页链接4.村BA已经有70多年历史 网页链接5.莱科宁备战纳斯卡 网页链接6.张国伟发博称 ...全文,https://m.weibo.cn/detail/4801351609227895,0,3,11
17,4801243547700329,咪咕体育,2022-08-11 11:38:47,#村BA已经有70多年历史#贵州省台江县台盘村篮球赛火爆全网，16支队伍点燃了这个夏天。根据村里老人回忆，台盘村篮球赛已经有七八十年的历史，这个普通村落有6位手持篮球裁判证的村民为了办好比赛，成立村篮球协会，分工明确专人负责，奖品也十分实在：一等奖黄平黄牛一头、二等奖榕江塔石香羊一对 ...全文,https://m.weibo.cn/detail/4801243547700329,3,4,34
18,4801339496335181,黔东南新闻网官方微博,2022-08-11 18:00:03,##贵州的村ba有多火# 村BA佛山顺德女子队员被奖励追着跑 [哈哈][哈哈]！#黔东南乡村篮球赛引爆夏日# 黔东南新闻网官方微博的微博视频 ,https://m.weibo.cn/detail/4801339496335181,1,0,2
18,4801337327358458,王梓洁-Zz,2022-08-11 17:51:26,体验了当地的热情 行程很累 但很有意义#直击贵州村ba超燃现场# 王梓洁-Zz的微博视频 ,https://m.weibo.cn/detail/4801337327358458,0,0,3
18,4801332919669496,佛山电台顺德广播,2022-08-11 17:33:55,火爆全网！顺德又有新关键词！前段时间，火爆全网的黔东南“村BA”至今余热未消，8月9日晚，佛黔协作篮球交流赛这一场被视为“村BA”与“CBA”对决的比赛，受到了各大媒体的关注，其中主角之一的顺德又有了新的关键词！“体育”！火爆全网！顺德又有新关键词！ ,https://m.weibo.cn/detail/4801332919669496,0,0,3
18,4801332638127956,贵州体育之声,2022-08-11 17:32:48,发布了头条文章：《火爆！贵州“村BA”篮球赛登上央视《焦点访谈》》  火爆！贵州“村BA”篮球赛登上央视《焦点访谈》 ,https://m.weibo.cn/detail/4801332638127956,0,0,0
