页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数
13,4801436586869434,不修仙的张小几,2022-08-12 00:25:51,#村BA向姚明和CBA发出邀请#别说发展民间体育运动了。很多村里连篮筐都不安怕扰民。但大妈跳广场舞可以 ,https://m.weibo.cn/detail/4801436586869434,0,1,4
13,4801428302857749,2022延续依然想暴富,2022-08-11 23:52:56,#村BA向姚明和CBA发出邀请#这有什么好嘲的，专业的又怎么样，业余的又怎么样？关键是那气氛，互动友谊赛或者表演赛一下，有何不可，推动篮球发展 ,https://m.weibo.cn/detail/4801428302857749,0,0,69
13,4801436254211098,一水山间,2022-08-12 00:24:32,#村BA向姚明和CBA发出邀请#对于这份邀约，我相信姚明会欣然接受，在适当的时机现场感受“村BA”赛事热烈氛围，为热爱篮球运动的基层群众鼓舞打气！ ,https://m.weibo.cn/detail/4801436254211098,0,1,11
13,4801435587581994,一周五六_,2022-08-12 00:21:53,贵州村ba那么多观众，从十里八乡赶过来，密密麻麻站在一起，没有一个人戴口罩。中国体育乌托邦！ ,https://m.weibo.cn/detail/4801435587581994,0,0,2
13,4801434384076379,鹍黄登鸡,2022-08-12 00:17:06,#村BA向姚明和CBA发出邀请#热评一群酸葡萄？发展民间篮球不是件好事？跟强弱啥关系？本来跟cba有什么可比性，不知道一群人搁着叫什么 ,https://m.weibo.cn/detail/4801434384076379,0,0,9
13,4801433940006617,HEIHEIG,2022-08-12 00:15:20,#村BA向姚明和CBA发出邀请#连日来，贵州省“美丽乡村”篮球联赛（又被网友称为贵州“村BA”）在全省各地如火如荼开展。 ,https://m.weibo.cn/detail/4801433940006617,0,0,2
13,4801422665979842,布庶,2022-08-11 23:30:32,贵州#村BA向姚明和CBA发出邀请#，姚明一定要去待上几天，作为党的领导干部，要深入到群众生产生活文体活动中去，和群众打成一片。 ,https://m.weibo.cn/detail/4801422665979842,2,4,27
13,4801432098968331,枫哥侃球,2022-08-12 00:08:01,野球的天花板！一场比赛4个NBA球员，这个城市的村BA太豪横！#村ba# 枫哥侃球的微博视频 ,https://m.weibo.cn/detail/4801432098968331,1,0,1
14,4801435587581994,一周五六_,2022-08-12 00:21:53,贵州村ba那么多观众，从十里八乡赶过来，密密麻麻站在一起，没有一个人戴口罩。中国体育乌托邦！ ,https://m.weibo.cn/detail/4801435587581994,0,0,2
14,4801434384076379,鹍黄登鸡,2022-08-12 00:17:06,#村BA向姚明和CBA发出邀请#热评一群酸葡萄？发展民间篮球不是件好事？跟强弱啥关系？本来跟cba有什么可比性，不知道一群人搁着叫什么 ,https://m.weibo.cn/detail/4801434384076379,0,0,9
14,4801433940006617,HEIHEIG,2022-08-12 00:15:20,#村BA向姚明和CBA发出邀请#连日来，贵州省“美丽乡村”篮球联赛（又被网友称为贵州“村BA”）在全省各地如火如荼开展。 ,https://m.weibo.cn/detail/4801433940006617,0,0,2
14,4801422665979842,布庶,2022-08-11 23:30:32,贵州#村BA向姚明和CBA发出邀请#，姚明一定要去待上几天，作为党的领导干部，要深入到群众生产生活文体活动中去，和群众打成一片。 ,https://m.weibo.cn/detail/4801422665979842,2,4,27
14,4801432098968331,枫哥侃球,2022-08-12 00:08:01,野球的天花板！一场比赛4个NBA球员，这个城市的村BA太豪横！#村ba# 枫哥侃球的微博视频 ,https://m.weibo.cn/detail/4801432098968331,1,0,1
14,4801420765172261,舆论判案分审判,2022-08-11 23:22:59,#村BA向姚明和CBA发出邀请#大姚现在在国内，到哪个场合都是摆着一副臭脸，也不知道是媒体还是粉丝得罪他了。。。 ,https://m.weibo.cn/detail/4801420765172261,1,12,52
14,4801431603512536,嘬西瓜汁的西瓜,2022-08-12 00:06:02,#村BA向姚明和CBA发出邀请#不会真有人看CBA吧 ,https://m.weibo.cn/detail/4801431603512536,0,0,0
14,4801426491181170,_zhuoOoO,2022-08-11 23:45:44,#村BA向姚明和CBA发出邀请#我是真的有被村BA震撼到……完全不输NBA的模式，甚至还更有自己特色值得大力推广！ ,https://m.weibo.cn/detail/4801426491181170,0,2,29
14,4801431334292781,世外看客,2022-08-12 00:04:59,#村BA向姚明和CBA发出邀请#姚明当了篮协领导后，就变得不一样了，他应该是不会理睬不会去的。 ,https://m.weibo.cn/detail/4801431334292781,0,0,3
14,4801431209775860,看我眼神表达,2022-08-12 00:04:29,#村BA向姚明和CBA发出邀请#这人气这氛围，不知道的还以为打NBA呢，一票难求 ,https://m.weibo.cn/detail/4801431209775860,0,0,1
15,4801427077858690,LI未来在哪里,2022-08-11 23:48:04,#村BA向姚明和CBA发出邀请#要变味了唉 ,https://m.weibo.cn/detail/4801427077858690,0,2,10
15,4801426553308946,保持好奇活下去,2022-08-11 23:45:59,#村BA向姚明和CBA发出邀请#以前我小时候，村里面年轻人很多，篮球气氛也很浓厚，然后打球扯皮进而打架斗殴，再后来，大家都忙着赚钱，都在电视机面前看球骂人。 ,https://m.weibo.cn/detail/4801426553308946,0,0,8
15,4801424943485121,爱吃蜡笔的小xin,2022-08-11 23:39:35,#村BA向姚明和CBA发出邀请#我立马给NBA萧华发一个邀请。 ,https://m.weibo.cn/detail/4801424943485121,0,0,3
15,4801423130234438,韦观Pro,2022-08-11 23:32:23,通电的贵州“村BA”，引来韩旭、马布里等人的觊觎！韩旭微博：“村BA的氛围太好了，球迷太热情了，有机会也来打场比赛。”马布里微博：“期待能够现场感受一下‘乡村洛克公园’的篮球氛围！”郭凯伦微博：“天然“村BA” 纯天然无公害、绿色！”你感受到现场的气氛了吗？这就是传说中从早打到晚的 ...全文,https://m.weibo.cn/detail/4801423130234438,0,0,2
15,4801423030094729,小橘妹妹_,2022-08-11 23:31:59,#村BA向姚明和CBA发出邀请#篮球没有界限～（谁刚写完村BA思维导图呀） ,https://m.weibo.cn/detail/4801423030094729,0,0,7
15,4801422224266975,飞机保姆V,2022-08-11 23:28:47,#贵州村BA向姚明和CBA发出邀请#这个可以去，我觉得不光光要去感受一下，更要带去大礼包！大姚等你好消息 ,https://m.weibo.cn/detail/4801422224266975,1,0,3
15,4801421007915163,K-Jong-Z,2022-08-11 23:23:57,#记者对着姚明已经激动得说不出话#欢迎姚明来贵州村BA啊 ,https://m.weibo.cn/detail/4801421007915163,0,1,1
15,4801021904160734,王梓洁-Zz,2022-08-10 20:58:03,匆忙中体验一把贵州“村BA” 黔东南苗族侗族自治州 ,https://m.weibo.cn/detail/4801021904160734,0,3,23
